# generated by .xlsx-source/extract.py from decorationdata_V_10_00 (ARMOR rows) on 2026-04-19
# schema: id|skill|skill_variation|passive_skill|passive_level|passive_skill_name|type
PS_000_03 (Health Boost (XL))||NONE|Health Boost|4|Health Boost (XL)|ARMOR
PS_001_03 (Critical (XL))||NONE|Critical|4|Critical (XL)|ARMOR
PS_002_03 (Evasion Ability (XL))||NONE|Evasion Ability|4|Evasion Ability (XL)|ARMOR
PS_003_03 (Inflict Rate Up (XL))||NONE|Inflict Rate Up|4|Inflict Rate Up (XL)|ARMOR
PS_004_03 (Divine Blessing (XL))||NONE|Divine Blessing|4|Divine Blessing (XL)|ARMOR
PS_005_03 (Den Protector (XL))||NONE|Den Protector|4|Den Protector (XL)|ARMOR
PS_006_03 (Non-Elem Atk Boost (XL))||NONE|Non-Elem Atk Boost|4|Non-Elem Atk Boost (XL)|ARMOR
PS_007_03 (Fire Atk Boost (XL))||NONE|Fire Atk Boost|4|Fire Atk Boost (XL)|ARMOR
PS_008_03 (Water Atk Boost (XL))||NONE|Water Atk Boost|4|Water Atk Boost (XL)|ARMOR
PS_009_03 (Thunder Atk Boost (XL))||NONE|Thunder Atk Boost|4|Thunder Atk Boost (XL)|ARMOR
PS_010_03 (Ice Atk Boost (XL))||NONE|Ice Atk Boost|4|Ice Atk Boost (XL)|ARMOR
PS_011_03 (Dragon Atk Boost (XL))||NONE|Dragon Atk Boost|4|Dragon Atk Boost (XL)|ARMOR
PS_012_03 (Non-Elem Def Boost (XL))||NONE|Non-Elem Def Boost|4|Non-Elem Def Boost (XL)|ARMOR
PS_013_03 (Fire Def Boost (XL))||NONE|Fire Def Boost|4|Fire Def Boost (XL)|ARMOR
PS_014_03 (Water Def Boost (XL))||NONE|Water Def Boost|4|Water Def Boost (XL)|ARMOR
PS_015_03 (Thunder Def Boost (XL))||NONE|Thunder Def Boost|4|Thunder Def Boost (XL)|ARMOR
PS_016_03 (Ice Def Boost (XL))||NONE|Ice Def Boost|4|Ice Def Boost (XL)|ARMOR
PS_017_03 (Dragon Def Boost (XL))||NONE|Dragon Def Boost|4|Dragon Def Boost (XL)|ARMOR
PS_018_03 (All-Elem Def Boost (XL))||NONE|All-Elem Def Boost|4|All-Elem Def Boost (XL)|ARMOR
PS_028_03 (Antivenom (XL))||NONE|Antivenom|4|Antivenom (XL)|ARMOR
PS_019_03 (Antiburn (XL))||NONE|Antiburn|4|Antiburn (XL)|ARMOR
PS_020_03 (Antiparalysis (XL))||NONE|Antiparalysis|4|Antiparalysis (XL)|ARMOR
PS_021_03 (Insomniac (XL))||NONE|Insomniac|4|Insomniac (XL)|ARMOR
PS_022_03 (Sealbreaker (XL))||NONE|Sealbreaker|4|Sealbreaker (XL)|ARMOR
PS_023_03 (Blightproof (XL))||NONE|Blightproof|4|Blightproof (XL)|ARMOR
PS_024_03 (Antibleed (XL))||NONE|Antibleed|4|Antibleed (XL)|ARMOR
PS_025_03 (Darkness Resistance (XL))||NONE|Darkness Resistance|4|Darkness Resistance (XL)|ARMOR
PS_049_03 (Anti 1-Hit KO (XL))||NONE|Anti 1-Hit KO|4|Anti 1-Hit KO (XL)|ARMOR
PS_026_03 (Panacea (XL))||NONE|Panacea|4|Panacea (XL)|ARMOR
PS_027_03 (Soul Kinship (XL))||NONE|Soul Kinship|4|Soul Kinship (XL)|ARMOR
PS_029_03 (HtH Master (XL))||NONE|HtH Master|4|HtH Master (XL)|ARMOR
PS_030_03 (Kinship Skill+ (XL))||NONE|Kinship Skill+|4|Kinship Skill+ (XL)|ARMOR
PS_031_03 (Salt in Wound (XL))||NONE|Salt in Wound|4|Salt in Wound (XL)|ARMOR
PS_033_03 (Vicious (XL))||NONE|Vicious|4|Vicious (XL)|ARMOR
PS_034_03 (Synchronize (XL))||NONE|Synchronize|4|Synchronize (XL)|ARMOR
PS_035_03 (Heroics (XL))||NONE|Heroics|4|Heroics (XL)|ARMOR
PS_036_03 (Potential (XL))||NONE|Potential|4|Potential (XL)|ARMOR
PS_037_03 (Evasion Instinct (XL))||NONE|Evasion Instinct|4|Evasion Instinct (XL)|ARMOR
PS_038_03 (Vigilance (XL))||NONE|Vigilance|4|Vigilance (XL)|ARMOR
PS_039_03 (Partner (XL))||NONE|Partner|4|Partner (XL)|ARMOR
PS_040_03 (Slugger (XL))||NONE|Slugger|4|Slugger (XL)|ARMOR
PS_041_03 (Bombardier (XL))||NONE|Bombardier|4|Bombardier (XL)|ARMOR
PS_042_03 (Self-Heal (XL))||NONE|Self-Heal|4|Self-Heal (XL)|ARMOR
PS_043_03 (Dancer (XL))||NONE|Dancer|4|Dancer (XL)|ARMOR
PS_044_03 (Crit-Heal (XL))||NONE|Crit-Heal|4|Crit-Heal (XL)|ARMOR
PS_045_03 (Critical Kinship (XL))||NONE|Critical Kinship|4|Critical Kinship (XL)|ARMOR
PS_046_03 (Fortify (XL))||NONE|Fortify|4|Fortify (XL)|ARMOR
PS_047_03 (Tenacity (XL))||NONE|Tenacity|4|Tenacity (XL)|ARMOR
PS_048_03 (Quick (XL))||NONE|Quick|4|Quick (XL)|ARMOR
PS_050_03 (Item Saver (XL))||NONE|Item Saver|4|Item Saver (XL)|ARMOR
PS_051_03 (Weak Point (XL))||NONE|Weak Point|4|Weak Point (XL)|ARMOR
PS_052_03 (Partbreaker (XL))||NONE|Partbreaker|4|Partbreaker (XL)|ARMOR
PS_053_03 (Stamina Boost (XL))||NONE|Stamina Boost|4|Stamina Boost (XL)|ARMOR
PS_054_03 (Stamina Surge (XL))||NONE|Stamina Surge|4|Stamina Surge (XL)|ARMOR
PS_055_03 (Dragon Buster (XL))||NONE|Dragon Buster|4|Dragon Buster (XL)|ARMOR
PS_056_03 (Elemental Assault (XL))||NONE|Elemental Assault|4|Elemental Assault (XL)|ARMOR
PS_057_03 (Elemental Breaker (XL))||NONE|Elemental Breaker|4|Elemental Breaker (XL)|ARMOR
PS_058_03 (Instigator (XL))||NONE|Instigator|4|Instigator (XL)|ARMOR
PS_077_03 (Heroic Testament (XL))||NONE|Heroic Testament|4|Heroic Testament (XL)|ARMOR
