# generated by .xlsx-source/extract.py from armorparam on 2026-04-19
# schema: name|armor_id|level|defense|slots|mat1|mat2|mat3
#N/A|Armor_P_001|0|0|0|||0 x9
#N/A|Armor_P_002|0|0|0|||0 x9
#N/A|Armor_P_003|0|0|0|||0 x9
#N/A|Armor_P_004|0|0|0|||0 x9
#N/A|Armor_P_005|0|0|0|||0 x9
#N/A|Armor_P_006|0|0|0|||0 x9
Aelucanth Armor|Armor_055_0 (Aelucanth)|0|78|0|MATERIAL_TYPE_214 (<LSNR {Aelucanth Armor} {Rhopessa Armor}>) x1|MATERIAL_TYPE_191 (Rachnoid) x8|
Aelucanth Armor|Armor_055_0 (Aelucanth)|1|104|1|MATERIAL_TYPE_189 (Dracophage) x8|MATERIAL_TYPE_202 (High-Grade Bug) x10|
Aelucanth Armor|Armor_055_0 (Aelucanth)|2|128|1|MATERIAL_TYPE_189 (Dracophage) x16|MATERIAL_TYPE_144 (Astalos) x12|MATERIAL_TYPE_203 (Armor Sphere) x8
Ajarakan Armor|Armor_083 (Ajarakan)|0|78|1|MATERIAL_TYPE_175 (Ajarakan) x6||
Ajarakan Armor|Armor_083 (Ajarakan)|1|104|2|MATERIAL_TYPE_175 (Ajarakan) x12|MATERIAL_TYPE_176 (Rey Dau) x6|
Ajarakan Armor|Armor_083 (Ajarakan)|2|128|2|MATERIAL_TYPE_175 (Ajarakan) x20|MATERIAL_TYPE_167 (E.Odogaron) x12|MATERIAL_TYPE_203 (Armor Sphere) x10
Aknosom Armor|Armor_040 (Aknosom)|0|54|0|MATERIAL_TYPE_149 (Aknosom) x10||
Aknosom Armor|Armor_040 (Aknosom)|1|68|1|MATERIAL_TYPE_149 (Aknosom) x15|MATERIAL_TYPE_159 (Anjanath) x6|
Aknosom Armor|Armor_040 (Aknosom)|2|100|2|MATERIAL_TYPE_149 (Aknosom) x25|MATERIAL_TYPE_153 (Rakna) x12|MATERIAL_TYPE_203 (Armor Sphere) x5
Alloy Armor|Armor_003 (Alloy)|0|42|1|MATERIAL_TYPE_209 (Alloy Armor) x1|MATERIAL_TYPE_197 (Low-Grade Ore) x8|
