# generated by .xlsx-source/extract.py from genedata_v_10_00 on 2026-04-19
# schema: gene_id|skill|skill_variation|open_level|passive_skill|passive_level|bingo_three_way_type|bingo_element_type|sort_id
GENE_15 (Flame Aura)|Flame Aura|NONE|40|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_19 (Explosive Breath)|Explosive Breath|NONE|40|NONE|0|THREE_WAY_TYPE_POWER||0
GENE_20 (Explosive Blast)|Explosive Blast|NONE|60|NONE|0|THREE_WAY_TYPE_POWER||0
GENE_21 (Ignition Kick)|Ignition Kick|NONE|0|NONE|0|THREE_WAY_TYPE_SPEED||0
GENE_279 (Thunder Fang)|Thunder Fang|NONE|0|NONE|0|THREE_WAY_TYPE_TECHNIQUE||0
GENE_26 (Thunder Trap)|Thunder Trap|NONE|40|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_31 (Heat Beam)|Heat Beam|NONE|0|NONE|0|THREE_WAY_TYPE_POWER||0
GENE_32 (Charged Spread Beam)|Charged Spread Beam|NONE|60|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_33 (Vengeful Tackle)|Vengeful Tackle|NONE|0|NONE|0|THREE_WAY_TYPE_POWER||0
GENE_34 (Maximum Horn Jab)|Maximum Horn Jab|NONE|40|NONE|0|THREE_WAY_TYPE_POWER||0
GENE_35 (Focus Power)|Focus Power|NONE|50|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_36 (Savage Roar)|Savage Roar|NONE|0|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_296 (Deadly Horn Jab)|Deadly Horn Jab|NONE|40|NONE|0|THREE_WAY_TYPE_POWER||0
GENE_37 (Hellbreaker)|Hellbreaker|NONE|0|NONE|0|THREE_WAY_TYPE_SPEED||0
GENE_38 (Beastly Roar)|Beastly Roar|NONE|50|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_39 (Hell Horn)|Hell Horn|NONE|60|NONE|0|THREE_WAY_TYPE_SPEED||0
GENE_64 (Poison Tail)|Poison Tail|NONE|0|NONE|0|THREE_WAY_TYPE_TECHNIQUE||0
GENE_65 (Omni Chaser T)|Omni Chaser T|NONE|35|NONE|0|THREE_WAY_TYPE_TECHNIQUE||0
GENE_66 (Pickaxe Beak)|Pickaxe Beak|NONE|0|NONE|0|THREE_WAY_TYPE_SPEED||0
GENE_67 (Black Wind)|Black Wind|NONE|40|NONE|0|THREE_WAY_TYPE_SPEED||0
GENE_68 (Cunning Blow)|Cunning Blow|NONE|60|NONE|0|THREE_WAY_TYPE_SPEED||0
GENE_69 (Death Scythe)|Death Scythe|NONE|0|NONE|0|THREE_WAY_TYPE_SPEED||0
GENE_70 (Scissor Hold)|Scissor Hold|NONE|30|NONE|0|THREE_WAY_TYPE_SPEED||0
GENE_71 (Torrent Flash)|Torrent Flash|NONE|40|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_72 (Refresh)|Refresh|NONE|20|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_73 (Snowball Attack)|Snowball Attack|NONE|40|NONE|0|THREE_WAY_TYPE_POWER||0
GENE_74 (White Breath)|White Breath|NONE|0|NONE|0|THREE_WAY_TYPE_POWER||0
GENE_78 (Gale Trap)|Gale Trap|NONE|60|NONE|0|THREE_WAY_TYPE_NONE||0
GENE_84 (Rock Shooter)|Rock Shooter|NONE|0|NONE|0|THREE_WAY_TYPE_SPEED||0
