# generated by .xlsx-source/extract.py from nestecologyranktabledata on 2026-04-19
# schema: nest_rarity|nest_risk_rank|ecology_rank|weight_normal|weight_rare|weight_super_rare
NORMAL|Phase1|S|20|35|5
NORMAL|Phase1|A|25|25|0
NORMAL|Phase1|B|30|10|0
NORMAL|Phase1|C|100|0|0
NORMAL|Phase2|S|15|40|5
NORMAL|Phase2|A|20|30|0
NORMAL|Phase2|B|25|15|0
NORMAL|Phase2|C|60|15|0
NORMAL|Phase3|S|10|40|10
NORMAL|Phase3|A|15|30|5
NORMAL|Phase3|B|20|20|0
NORMAL|Phase3|C|30|10|0
NORMAL|Phase4|S|10|40|10
NORMAL|Phase4|A|15|30|5
NORMAL|Phase4|B|20|20|0
NORMAL|Phase4|C|20|10|0
RARE|Phase1|S|10|40|10
RARE|Phase1|A|10|35|5
RARE|Phase1|B|20|20|0
RARE|Phase1|C|15|15|0
RARE|Phase2|S|5|45|10
RARE|Phase2|A|5|40|5
RARE|Phase2|B|15|25|0
RARE|Phase2|C|10|20|0
RARE|Phase3|S|0|45|15
RARE|Phase3|A|0|40|10
RARE|Phase3|B|10|25|5
RARE|Phase3|C|5|25|0
RARE|Phase4|S|0|45|15
RARE|Phase4|A|0|40|10
RARE|Phase4|B|10|25|5
RARE|Phase4|C|5|25|0
SUPERRARE|Phase1|S|0|10|50
SUPERRARE|Phase1|A|0|35|15
SUPERRARE|Phase1|B|0|20|20
SUPERRARE|Phase1|C|0|15|15
SUPERRARE|Phase2|S|0|5|50
SUPERRARE|Phase2|A|0|30|20
SUPERRARE|Phase2|B|0|15|25
SUPERRARE|Phase2|C|0|10|20
SUPERRARE|Phase3|S|0|0|60
SUPERRARE|Phase3|A|0|25|25
SUPERRARE|Phase3|B|0|10|30
SUPERRARE|Phase3|C|0|5|25
SUPERRARE|Phase4|S|0|0|60
SUPERRARE|Phase4|A|0|25|25
SUPERRARE|Phase4|B|0|10|30
SUPERRARE|Phase4|C|0|5|25
