# generated by .xlsx-source/extract.py from ecomutationdata on 2026-04-19
# schema: mutation_id|monstie|ecological_rank|origin_monsties|required_monsties|required_monsties_number|required_elements|required_elements_number|required_species|required_species_number|required_three_way_type|required_three_way_type_number|required_monster_rank_number|required_areas|required_area_element|activation_story_flag
CASE01|Dreadqueen Rathian|S|OT0001_00_00 (Rathian) OT0001_01_00 (Pink Rathain)|OT0001_00_00 (Rathian) OT0001_01_00 (Pink Rathain) OT0009_00_00 (Gypceros) OT0009_01_00 (Purple Gypceros) OT0070_00_00 (Nerscylla) OT0070_01_00 (Shrouded Nerscylla) OT0102_00_00 (Pukei-Pukei) OT0136_00_00 (Espinas) OT0018_00_00 (Yian Garuga) OT0018_04_00 (Deadeye Yian Garuga) OT0047_01_00 (Purple Ludroth) OT0002_00_00 (Rathalos) OT0002_01_00 (Azure Rathalos) OT0002_04_00 (Dreadking Rathalos)|3||||||||||CHARA_MAKE
CASE02|Deadeye Yian Garuga|S|OT0018_00_00 (Yian Garuga)|||||||||3|||CHARA_MAKE
CASE03|Grimclaw Tigrex|S|OT0032_00_00 (Tigrex) OT0032_01_00 (Brute Tigrex)|||||||THREE_WAY_TYPE_POWER|4||||CHARA_MAKE
CASE04|Thunderlord Zinogre|S|OT0057_00_00 (Zinogre) OT0057_01_00 (Stygian Zinogre)|OT0082_00_00 (Mizutsune) OT0082_04_00 (Soulseer Mizutsune)|1||||||||||CHARA_MAKE
CASE05|Dreadking Rathalos|S|OT0002_00_00 (Rathalos) OT0002_01_00 (Azure Rathalos)|||||RACE_02 (Flying Wyvern)|4||||||CHARA_MAKE
CASE06|Soulseer Mizutsune|S|OT0082_00_00 (Mizutsune)|OT0057_00_00 (Zinogre) OT0057_01_00 (Stygian Zinogre) OT0057_04_00 (Thunderlord Zinogre)|1||||||||||CHARA_MAKE
CASE07|Bloodbath Diablos|S|OT0007_00_00 (Diablos) OT0007_01_00 (Black Diablos)||||||||||C002||CHARA_MAKE
CASE08|Silverwind Nargacuga|S|OT0037_00_00 (Nargacuga) OT0037_01_00 (Green Nargacuga)|OT0098_00_00 (Great Izuchi) OT0042_01_00 (Sand Barioth) OT0111_00_00 (Legiana) OT0110_00_00 (Paolumu)|2||||||||||CHARA_MAKE
CASE09|Hellblade Glavenus|S|OT0080_00_00 (Glavenus)|OT0020_00_00 (Shogun Ceanataur) OT0077_00_00 (Seregios) OT0037_00_00 (Nargacuga) OT0037_01_00 (Green Nargacuga) OT0037_04_00 (Silverwind Nargacuga) OT0098_00_00 (Great Izuchi) OT0089_00_00 (Magnamalo) OT0080_00_00 (Glavenus) OT0160_00_00 (Arkveld)|4||||||||||CHARA_MAKE
CASE10|Boltreaver Astalos|S|OT0081_00_00 (Astalos)|||ELEM_ATTR_TYPE_THUNDER|3|||||||ELEM_ATTR_TYPE_THUNDER|CHARA_MAKE
CASE11|Brute Tigrex|A|OT0032_00_00 (Tigrex)||||||||||||CHARA_MAKE
CASE12|Stygian Zinogre|A|OT0057_00_00 (Zinogre)||||||||||||CHARA_MAKE
CASE13|Green Nargacuga|A|OT0037_00_00 (Nargacuga)||||||||||||CHARA_MAKE
CASE14|Pink Rathain|B|OT0001_00_00 (Rathian)||||||||||||CHARA_MAKE
CASE15|Sand Barioth|A|OT0042_00_00 (Barioth)||||||||||||CHARA_MAKE
CASE16|Ivory Lagiacrus|A|OT0046_00_00 (Lagiacrus)||||||||||||CHARA_MAKE
CASE17|Azure Rathalos|A|OT0002_00_00 (Rathalos)||||||||||||CHARA_MAKE
