# generated by .xlsx-source/extract.py from nesttabledata on 2026-04-19
# schema: area|nest_type|nest_rarity|begin_story_flag|end_story_flag|nest_env_type|enemy_appearance_rate|enemy_wakeup_rate|enemy_list|fes_rate|egg_fes_rate|pop_fes_rate|cat_fes_rate
A000|RANDOM|NORMAL|CHARA_MAKE|M_1F0|nt100|10|0|LOT_LIST_01|15|50|30|20
A000|RANDOM|RARE|CHARA_MAKE|M_1F0|nt100|20|10|LOT_LIST_01|10|40|40|20
A000|RANDOM|SUPERRARE|CHARA_MAKE|M_1F0|nt100|30|20|LOT_LIST_01|5|20|50|30
A000|RETURNING|RARE|CHARA_MAKE|M_1F0|nt100|100|0|RETURN_EM|100|100|0|0
A000|PREDATOR|SUPERRARE|CHARA_MAKE|M_1F0|nt108|100|0|RETURN_EM|0|0|0|0
A001|RANDOM|NORMAL|CHARA_MAKE|M_1F0|nt100|10|0|LOT_LIST_02|15|50|30|20
A001|RANDOM|RARE|CHARA_MAKE|M_1F0|nt100|20|10|LOT_LIST_02|10|40|40|20
A001|RANDOM|SUPERRARE|CHARA_MAKE|M_1F0|nt100|30|20|LOT_LIST_02|5|20|50|30
A001|RETURNING|RARE|CHARA_MAKE|M_1F0|nt100|100|0|RETURN_EM|100|100|0|0
A001|PREDATOR|SUPERRARE|CHARA_MAKE|M_1F0|nt108|100|0|RETURN_EM|0|0|0|0
A002|RANDOM|NORMAL|CHARA_MAKE|M_1F0|nt100|10|0|LOT_LIST_03|15|50|30|20
A002|RANDOM|RARE|CHARA_MAKE|M_1F0|nt100|20|10|LOT_LIST_03|10|40|40|20
A002|RANDOM|SUPERRARE|CHARA_MAKE|M_1F0|nt100|30|20|LOT_LIST_03|5|20|50|30
A002|RETURNING|RARE|CHARA_MAKE|M_1F0|nt100|100|0|RETURN_EM|100|100|0|0
A002|PREDATOR|SUPERRARE|CHARA_MAKE|M_1F0|nt108|100|0|RETURN_EM|0|0|0|0
A003|RANDOM|NORMAL|CHARA_MAKE|M_1F0|nt100|10|0|LOT_LIST_04|15|50|30|20
A003|RANDOM|RARE|CHARA_MAKE|M_1F0|nt100|20|10|LOT_LIST_04|10|40|40|20
A003|RANDOM|SUPERRARE|CHARA_MAKE|M_1F0|nt100|30|20|LOT_LIST_04|5|20|50|30
A003|RETURNING|RARE|CHARA_MAKE|M_1F0|nt100|100|0|RETURN_EM|100|100|0|0
A003|PREDATOR|SUPERRARE|CHARA_MAKE|M_1F0|nt108|100|0|RETURN_EM|0|0|0|0
A000|RANDOM|NORMAL|M_1F0|INVALID|nt100|30|10|LOT_LIST_01|30|50|30|20
A000|RANDOM|RARE|M_1F0|INVALID|nt100|50|30|LOT_LIST_01|20|40|40|20
A000|RANDOM|SUPERRARE|M_1F0|INVALID|nt100|70|50|LOT_LIST_01|10|20|50|30
A000|RETURNING|RARE|M_1F0|INVALID|nt100|100|0|RETURN_EM|100|100|0|0
A000|PREDATOR|SUPERRARE|M_1F0|INVALID|nt108|100|0|RETURN_EM|0|0|0|0
A001|RANDOM|NORMAL|M_1F0|INVALID|nt100|30|10|LOT_LIST_02|30|50|30|20
A001|RANDOM|RARE|M_1F0|INVALID|nt100|50|30|LOT_LIST_02|20|40|40|20
A001|RANDOM|SUPERRARE|M_1F0|INVALID|nt100|70|50|LOT_LIST_02|10|20|50|30
