# generated by .xlsx-source/extract.py from itemdata on 2026-04-19
# schema: name|item_id|main_category|sub_category|description|max_count|is_high_grade|is_rare|item_rank|is_field_use
Herb|Herb|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_MATERIAL_MIX IT_SC_NONE|Restores a small amount of one ally's HP. Can be used as a material in Combo Recipes.|999|False|False|IT_RANK_NONE|False
Potion|Potion|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_MATERIAL_MIX IT_SC_NONE|Restores one ally's HP.|999|False|False|IT_RANK_NONE|False
Mega Potion|Mega Potion|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_NONE IT_SC_NONE|Greatly restores one ally's HP.|999|True|False|IT_RANK_NONE|False
Lifesoot|Lifesoot|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_NONE IT_SC_NONE|Restores a small amount of all allies' HP.|999|False|False|IT_RANK_NONE|False
Lifepowder|Lifepowder|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_MATERIAL_MIX IT_SC_NONE|Restores all allies' HP.|999|False|False|IT_RANK_NONE|False
Dust of Life|Dust of Life|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_NONE IT_SC_NONE|Completely restores all allies' HP.|999|True|False|IT_RANK_NONE|False
Max Potion|Max Potion|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_NONE IT_SC_NONE|Fully restores one ally's HP.|999|False|False|IT_RANK_NONE|False
Ancient Potion|Ancient Potion|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_STAMINA_CURE IT_SC_NONE|Completely restores one ally's HP and Stamina.|999|True|False|IT_RANK_NONE|False
Vital Essence|Vital Essence|IT_MC_BATTLE|IT_SC_LIFE_CURE IT_SC_NONE IT_SC_NONE|Restores one Heart.|999|False|False|IT_RANK_NONE|False
Immunizer|Immunizer|IT_MC_BATTLE|IT_SC_HP_CURE IT_SC_MATERIAL_MIX IT_SC_NONE|Grants Regenerate to one ally.|999|False|False|IT_RANK_NONE|False
Nulberry Elixir|Nulberry Elixir|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Medicine that cures any abnormal status for one ally.|999|False|False|IT_RANK_NONE|False
Antidote|Antidote|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures one ally of Poison, Noxious Poison, or Severe Poison.|999|False|False|IT_RANK_NONE|False
Antidote Powder|Antidote Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures all allies of Poison, Noxious Poison, or Severe Poison, and grants Negate Poison.|999|False|False|IT_RANK_NONE|False
Burn Ointment|Burn Ointment|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures one ally of Burn.|999|False|False|IT_RANK_NONE|False
Burnheal Powder|Burnheal Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures all allies of Burn and grants Negate Burn.|999|False|False|IT_RANK_NONE|False
Paracare|Paracare|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures one ally of Paralysis.|999|False|False|IT_RANK_NONE|False
Paraheal Powder|Paraheal Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures all allies of Paralysis and grants Negate Paralysis.|999|False|False|IT_RANK_NONE|False
Intuitizer|Intuitizer|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures one ally of Darkness.|999|False|False|IT_RANK_NONE|False
Darkheal Powder|Darkheal Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures all allies of Darkness and grants Negate Darkness.|999|False|False|IT_RANK_NONE|False
Energy Drink|Energy Drink|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures one ally of Sleep.|999|False|False|IT_RANK_NONE|False
Awakening Powder|Awakening Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures all allies of Sleep and grants Negate Sleep.|999|False|False|IT_RANK_NONE|False
Soap Scud|Soap Scud|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures one ally of Blastblight.|999|False|False|IT_RANK_NONE|False
Cleansing Powder|Cleansing Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures all allies of Blastblight and grants Negate Blastblight.|999|False|False|IT_RANK_NONE|False
Spirited Soda|Spirited Soda|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures one ally of Exhaust.|999|False|False|IT_RANK_NONE|False
Perky Powder|Perky Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures all allies of Exhaust and grants Negate Exhaust.|999|False|False|IT_RANK_NONE|False
Zest Pill|Zest Pill|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures one ally of Skillseal.|999|False|False|IT_RANK_NONE|False
Zestpowder|Zestpowder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Cures all allies of Skillseal and grants Negate Skillseal.|999|False|False|IT_RANK_NONE|False
Sushifish|Sushifish|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_MATERIAL_COOK IT_SC_NONE|Cures Bleeding and grants Regenerate.|999|False|False|IT_RANK_NONE|False
Ration|Ration|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores one ally's Stamina.|999|False|False|IT_RANK_NONE|False
Mega Ration|Mega Ration|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Greatly restores one ally's Stamina.|999|True|False|IT_RANK_NONE|False
Muscle Food|Muscle Food|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores one ally's Stamina and grants Attack Up.|999|False|False|IT_RANK_NONE|False
Toughness Food|Toughness Food|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores one ally's Stamina and grants Defense Up.|999|False|False|IT_RANK_NONE|False
Quick Food|Quick Food|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores one ally's Stamina and grants Speed Up.|999|False|False|IT_RANK_NONE|False
Vigor Powder|Vigor Powder|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores all allies' Stamina.|999|False|False|IT_RANK_NONE|False
Dash Juice|Dash Juice|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores one ally's Stamina and grants Stamina Regen Up.|999|False|False|IT_RANK_NONE|False
Big Barrel Bomb|Big Barrel Bomb|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_MATERIAL_MIX IT_SC_NONE|Deals a set amount of damage to one enemy. Chance to inflict Burn.|999|False|False|IT_RANK_NONE|False
Mega Barrel Bomb|Mega Barrel Bomb|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals a set amount of damage to one enemy. Chance to inflict Burn. More powerful than a Big Barrel Bomb.|999|True|False|IT_RANK_NONE|False
Launch Bomb|Launch Bomb|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals a set amount of damage to all enemies.|999|False|False|IT_RANK_NONE|False
Burst Bomb|Burst Bomb|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals a set amount of damage to all enemies. Chance to inflict Blastblight.|999|False|False|IT_RANK_NONE|False
Pitfall Trap|Pitfall Trap|IT_MC_BATTLE|IT_SC_TOOL IT_SC_NONE IT_SC_NONE|Triggered by an enemy's attack. Trapped enemies become unable to take any action.|999|False|False|IT_RANK_NONE|False
Shock Trap|Shock Trap|IT_MC_BATTLE|IT_SC_TOOL IT_SC_NONE IT_SC_NONE|Triggered by an enemy's attack. Inflicts Paralysis on trapped enemies.|999|False|False|IT_RANK_NONE|False
Tranq Trap|Tranq Trap|IT_MC_BATTLE|IT_SC_TOOL IT_SC_NONE IT_SC_NONE|Triggered by an enemy's attack. Inflicts Sleep on trapped enemies.|999|False|False|IT_RANK_NONE|False
Throwing Knife|Throwing Knife|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_MATERIAL_MIX IT_SC_NONE|Deals damage to one enemy.|999|False|False|IT_RANK_NONE|False
Poison Knife|Poison Knife|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to one enemy. Chance to inflict Poison.|999|False|False|IT_RANK_NONE|False
Paralysis Knife|Paralysis Knife|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to one enemy. Chance to inflict Paralysis.|999|False|False|IT_RANK_NONE|False
Sleep Knife|Sleep Knife|IT_MC_BATTLE|IT_SC_DAMAGE IT_SC_NONE IT_SC_NONE|Deals damage to one enemy. Chance to inflict Sleep.|999|False|False|IT_RANK_NONE|False
Sonic Bomb|Sonic Bomb|IT_MC_BATTLE|IT_SC_TOOL IT_SC_NONE IT_SC_NONE|An explosive that releases a blast of pure sound. Chance to inflict Stun on one enemy.|999|False|False|IT_RANK_NONE|False
Flash Bomb|Flash Bomb|IT_MC_BATTLE|IT_SC_TOOL IT_SC_NONE IT_SC_NONE|An explosive that releases a blast of bright light. Chance to inflict Darkness on one enemy.|999|False|False|IT_RANK_NONE|False
Might Seed|Might Seed|IT_MC_BATTLE|IT_SC_BOOST_CURE IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Slightly increases attack.|999|False|False|IT_RANK_NONE|False
Adamant Seed|Adamant Seed|IT_MC_BATTLE|IT_SC_BOOST_CURE IT_SC_MATERIAL_MIX IT_SC_MATERIAL_COOK|Slightly increases defense.|999|False|False|IT_RANK_NONE|False
Demondrug|Demondrug|IT_MC_BATTLE|IT_SC_BOOST_CURE IT_SC_MATERIAL_MIX IT_SC_NONE|Boosts your attack power.|999|False|False|IT_RANK_NONE|False
Mega Demondrug|Mega Demondrug|IT_MC_BATTLE|IT_SC_BOOST_CURE IT_SC_NONE IT_SC_NONE|Boosts your attack power even more than a regular Demondrug.|999|False|False|IT_RANK_NONE|False
Armorskin|Armorskin|IT_MC_BATTLE|IT_SC_BOOST_CURE IT_SC_MATERIAL_MIX IT_SC_NONE|Boosts your defense.|999|False|False|IT_RANK_NONE|False
Mega Armorskin|Mega Armorskin|IT_MC_BATTLE|IT_SC_BOOST_CURE IT_SC_NONE IT_SC_NONE|Boosts your defense even more than a regular Armorskin.|999|False|False|IT_RANK_NONE|False
Grape Juice|Grape Juice|IT_MC_BATTLE|IT_SC_BOOST_CURE IT_SC_NONE IT_SC_NONE|Juice made from Azurian grapes. Restores HP and enhances various stats when consumed.|999|False|False|IT_RANK_NONE|False
Flameguard Powder|Flameguard Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Temporarily grants Fire Defense Up to all allies.|999|False|False|IT_RANK_NONE|False
Waterguard Powder|Waterguard Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Temporarily grants Water Defense Up to all allies.|999|False|False|IT_RANK_NONE|False
Thunderguard Powder|Thunderguard Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Temporarily grants Thunder Defense Up to all allies.|999|False|False|IT_RANK_NONE|False
Iceguard Powder|Iceguard Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Temporarily grants Ice Defense Up to all allies.|999|False|False|IT_RANK_NONE|False
Dragonguard Powder|Dragonguard Powder|IT_MC_BATTLE|IT_SC_ABNORMAL_CURE IT_SC_NONE IT_SC_NONE|Temporarily grants Dragon Defense Up to all allies.|999|False|False|IT_RANK_NONE|False
Paintball|Paintball|IT_MC_BATTLE|IT_SC_NEST IT_SC_NONE IT_SC_NONE|Increases monster retreat rate. Most potent on low HP monsters.|999|False|False|IT_RANK_NONE|False
Mega Paintball|Mega Paintball|IT_MC_BATTLE|IT_SC_NEST IT_SC_NONE IT_SC_NONE|Increases monster retreat rate. Effect lasts longer than a normal Paintball.|999|True|False|IT_RANK_NONE|False
Surrogate Gem|Surrogate Gem|IT_MC_BATTLE|IT_SC_TOOL IT_SC_NONE IT_SC_NONE|A thrown item that allows an ally to negate damage for one turn. Releases light on impact, distracting monsters.|999|False|False|IT_RANK_NONE|False
BBQ Grill|BBQ Grill|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Greatly restores one ally's Stamina.|999|False|False|IT_RANK_NONE|False
BBQ Grill (Atk)|IT_MEDICINE_043 (BBQ Grill (Atk))|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores one ally's Stamina and grants Attack Up.|999|False|False|IT_RANK_NONE|False
BBQ Grill (Vig)|IT_MEDICINE_044 (BBQ Grill (Vig))|IT_MC_BATTLE|IT_SC_STAMINA_CURE IT_SC_NONE IT_SC_NONE|Restores one ally's Stamina and grants Stamina Regen Up.|999|False|False|IT_RANK_NONE|False
