# generated by .xlsx-source/extract.py from itemmixdata on 2026-04-19
# schema: result|ing1|qty1|ing2|qty2|ing3|qty3|recipe_flag
Lifesoot|Herb|2|Stone|2|INVALID|0|IT_RECIPE_MIX_012 (Lifesoot Recipe)
Potion|Herb|2|Blue Mushroom|2|INVALID|0|IT_RECIPE_MIX_013 (Potion Recipe)
Mega Potion|Potion|2|Honey|2|INVALID|0|IT_RECIPE_MIX_014 (Megapotion Recipe)
Lifepowder|Godbug|2|Wyvern Barbs|2|INVALID|0|IT_RECIPE_MIX_001 (Lifepowder Recipe)
Dust of Life|Lifepowder|2|Gloamgrass Bud|2|INVALID|0|IT_RECIPE_MIX_002 (Dust of Life Recipe)
Max Potion|Godbug|2|Honey|2|Mandragora|2|IT_RECIPE_MIX_003 (Max Potion Recipe)
Ancient Potion|Immunizer|2|Kelbi Horn|1|INVALID|0|IT_RECIPE_MIX_004 (Ancient Potion Recipe)
Immunizer|Bitterbug|2|Honey|2|INVALID|0|IT_RECIPE_MIX_016 (Immunizer Recipe)
Nulberry Elixir|Nulberry|2|Cactus Flower|2|INVALID|0|IT_RECIPE_MIX_017 (Nulberry Elixir Recipe)
Antidote|Antidote Herb|2|Blue Mushroom|2|INVALID|0|IT_RECIPE_MIX_027 (Antidote Recipe)
Burn Ointment|Aloe Leaf|2|Honey|2|INVALID|0|IT_RECIPE_MIX_028 (Burn Ointment Recipe)
Paracare|Anesfreesia|2|Sap Plant|2|INVALID|0|IT_RECIPE_MIX_029 (Paracare Recipe)
Intuitizer|Manyberry|2|Blue Mushroom|2|INVALID|0|IT_RECIPE_MIX_030 (Intuitizer Recipe)
Energy Drink|Hot Pepper|2|Honey|2|INVALID|0|IT_RECIPE_MIX_031 (Energy Drink Recipe)
Soap Scud|Soapgrass|2|Spider Web|2|INVALID|0|IT_RECIPE_MIX_032 (Soap Scud Recipe)
Zest Pill|Girthy Garlic|2|Nitroshroom|2|INVALID|0|IT_RECIPE_MIX_033 (Zest Pill Recipe)
Spirited Soda|Powerfruit|3|Honey|2|INVALID|0|IT_RECIPE_MIX_036 (Spirited Soda Recipe)
Big Barrel Bomb|Big Barrel|1|Fire Herb|2|Nitroshroom|1|IT_RECIPE_MIX_007 (Big Barrel Bomb Recipe)
Mega Barrel Bomb|Big Barrel Bomb|1|Scatterfish|2|INVALID|0|IT_RECIPE_MIX_008 (Mega Barrel Bomb Recipe)
Pitfall Trap|Trap Tool|1|Spider Web|2|Ivy|1|IT_RECIPE_MIX_018 (Pitfall Trap Recipe)
Shock Trap|Trap Tool|1|Thunderbug|2|INVALID|0|IT_RECIPE_MIX_010 (Shock Trap Recipe)
Tranq Trap|Trap Tool|1|Sleepyfish|2|INVALID|0|IT_RECIPE_MIX_011 (Tranq Trap Recipe)
Poison Knife|Throwing Knife|1|Toadstool|2|INVALID|0|IT_RECIPE_MIX_019 (Poison Knife Recipe)
Paralysis Knife|Throwing Knife|1|Anesfreesia|2|INVALID|0|IT_RECIPE_MIX_020 (Paralysis Knife Recipe)
Sleep Knife|Throwing Knife|1|Sleepyfish|2|INVALID|0|IT_RECIPE_MIX_021 (Sleep Knife Recipe)
Sonic Bomb|Screamer Sac|1|Fire Herb|2|INVALID|0|IT_RECIPE_MIX_005 (Sonic Bomb Recipe)
Flash Bomb|Flashbug|2|Sap Plant|2|Stone|2|IT_RECIPE_MIX_006 (Flash Bomb Recipe)
Paintball|Sap Plant|2|Paintberry|2|INVALID|0|IT_RECIPE_MIX_022 (Paintball Recipe)
Dash Juice|Immunizer|2|Dash Extract|2|INVALID|0|IT_RECIPE_MIX_023 (Dash Juice Recipe)
Demondrug|Mandragora|2|Might Seed|2|INVALID|0|IT_RECIPE_MIX_024 (Demondrug Recipe)
Mega Demondrug|Demondrug|1|Nourishing Extract|1|INVALID|0|IT_RECIPE_MIX_034 (Mega Demondrug Recipe)
Armorskin|Mandragora|2|Adamant Seed|2|INVALID|0|IT_RECIPE_MIX_025 (Armorskin Recipe)
Mega Armorskin|Armorskin|1|Nourishing Extract|1|INVALID|0|IT_RECIPE_MIX_035 (Mega Armorskin Recipe)
Vigor Powder|Godbug|2|Dash Extract|1|Kelbi Horn|1|IT_RECIPE_MIX_026 (Vigor Powder Recipe)
Grape Juice|Azurian Grapes|2|Gloamgrass Bud|2|INVALID|0|IT_RECIPE_MIX_009 (Grape Juice Recipe)
