# generated by .xlsx-source/extract.py from enemyleveldata on 2026-04-19
# schema: enemy|stage|stage_area_levels|level_scale|level_fluctuation|scale_max|night_add|is_eco
Velociprey|Azuria|3 3 3 3 3|False|0|0|10|False
Velociprey|Ashen Pass|3 3 3 3 3|False|0|0|0|False
Red Bnahabra|Azuria|3 3 3 3 3|False|0|0|10|False
Red Bnahabra|Ashen Pass|3 3 3 3 3|False|0|0|0|False
Ludroth|Azuria|10 10 10 10 10|False|0|0|10|False
Ludroth|Ashen Pass|14 14 14 14 14|False|0|0|0|False
Aptonoth|Azuria|3 3 3 3 3|False|0|0|10|False
Invasive Yian Garuga|None|0 0 0 0 0|False|-3|80|0|False
Velocidrome|Azuria|5 5 5 5 5|False|0|0|10|False
Yian Kut-Ku|Azuria|7 7 7 7 7|False|0|0|10|False
Yian Kut-Ku|Ashen Pass|14 14 14 14 14|False|0|0|0|False
Blue Yian Kut-Ku|Azuria|14 14 14 14 14|False|0|0|10|False
Gypceros|Azuria|9 9 9 9 9|False|0|0|10|False
Gypceros|Ashen Pass|14 14 14 14 14|False|0|0|0|False
Purple Gypceros|Azuria|14 14 14 14 14|False|0|0|10|False
Chatacabra|Azuria|7 7 7 7 7|False|0|0|10|False
Chatacabra|Ashen Pass|14 14 14 14 14|False|0|0|0|False
Paolumu|Azuria|7 7 7 7 7|False|0|0|10|False
Paolumu|Ashen Pass|14 14 14 14 14|False|0|0|0|False
Tobi-Kadachi|Azuria|14 14 14 14 14|False|0|0|10|False
Tobi-Kadachi|Ashen Pass|14 14 14 14 14|False|0|0|0|False
Royal Ludroth|Azuria|12 12 12 12 12|False|0|0|10|False
Royal Ludroth|Ashen Pass|14 14 14 14 14|False|0|0|0|False
Nerscylla|Azuria|14 14 14 14 14|False|0|0|10|False
Nerscylla|Ashen Pass|14 14 14 14 14|False|0|0|0|False
Plesioth|Azuria|30 30 30 30 30|False|0|0|10|False
Green Plesioth|Azuria|44 44 44 44 44|False|0|0|10|False
Anjanath|Azuria|32 32 32 32 32|False|0|0|10|False
Anjanath|Ashen Pass|32 32 32 32 32|False|0|0|0|False
Brachydios|Azuria|44 44 44 44 44|False|0|0|10|False
Espinas|Azuria|44 44 44 44 44|False|0|0|10|False
Feral Brachydios|Azuria|44 44 44 44 32|False|0|0|0|False
Feral Nerscylla|Azuria|30 30 30 30 24|False|0|0|0|False
Feral Paolumu|Azuria|14 14 14 14 14|False|0|0|0|False
Great Izuchi|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Izuchi|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
Arzuros|Canalta Timberland|18 18 18 18 18|False|0|0|10|False
