# generated by .xlsx-source/extract.py from 002_MonsterSkill_V_10_00 on 2026-04-19
# schema: skill_id|name|description
97257724-0C3A-482D-9E23-246065448646|Flame Aura|Grants Attack Up to the user, and attacks become capable of inflicting Burn.
E0207FF4-6925-49AF-9EFD-FE56B4DB1C64|Explosive Breath|Deals fire damage to one enemy. Chance to inflict Blastblight.
2098602C-FD98-4622-A415-E1D9E9DBCB1E|Explosive Blast|Deals fire damage to all enemies. Chance to inflict Blastblight.
046C8D5B-0D66-4584-B600-9250AF80D6DB|Ignition Kick|Deals fire damage to one enemy. Detonates Blastblight on targets.
0474ED2C-0BC4-4000-8864-2DEB2A16684F|Thunder Fang|Deals thunder damage to one enemy.
64963FF8-4F98-4497-82DD-D92E74E1DB2A|Thunder Trap|Deals thunder damage to all enemies, then sets a trap that continuously deals thunder damage.
70E1D885-EB09-418B-B88A-1C731937B365|Heat Beam|Deals fire damage that ignores defense to one enemy. Chance to inflict Burn. Low chance to hit.
15D04091-6E48-4566-8B02-3C6C8E06B251|Charged Spread Beam|Deals fire damage that ignores defense to all enemies at the end of turn. Chance to inflict Burn.
AD6F50B6-F0A5-4EA2-834E-0A516D307B1B|Vengeful Tackle|Deals non-elemental damage to one enemy, inflicting greater damage the lower the user's HP is.
C79275B4-5B12-4DBD-A018-1F62648E84EE|Maximum Horn Jab|Deals non-elemental damage to all enemies. Causes recoil damage to the user.
5B66B475-D24D-403D-BDA9-6ED4034061B3|Focus Power|Increases damage dealt by the user on the next turn.
65956B41-1290-4341-8545-5CDB809BE796|Savage Roar|Chance to inflict Stun on all enemies. Has the same effect as a Sonic Bomb.
CE875FE0-B381-4727-ABE7-FFACAA3E74EA|Deadly Horn Jab|Deals non-elemental damage to all enemies. Causes recoil damage to the user.
6EA0085B-A1BB-4E2A-86B0-382345BA7E69|Hellbreaker|Deals non-elemental damage to one enemy and inflicts Defense Down.
B86C35E2-EFEC-4392-9C5E-D36D2ECA2A7A|Beastly Roar|Chance to inflict Stun on all enemies. Has the same effect as a Sonic Bomb.
07F85AA4-86FB-461F-B4BD-63E7B98285A4|Beastly Roar|#N/A
E3C120F8-65E8-404A-A286-37616BB41BF0|Hell Horn|Deals non-elemental damage to all enemies. Causes recoil damage to the user.
3C7B16E1-6059-4261-A852-6F04A5ED001B|Hell Horn|#N/A
547762CF-DBBF-41C3-8BF8-A2B060CBBEB9|Poison Tail|Deals non-elemental damage to one enemy. Chance to inflict Poison.
3F1D39B1-06DC-49C1-AA85-94A38A15DADC|Omni Chaser T|Deals non-elemental damage to one enemy. Targets inflicted with an abnormal status take more damage.
71D4484C-015A-4883-8F97-ECF61EF61A62|Pickaxe Beak|Deals dragon damage to one enemy and inflicts Wyvernsoul Defense Down.
4BE5C7BA-ED8C-4EFC-93C0-21535442C1D4|Black Wind|Deals non-elemental damage to all enemies.
D96AAC0E-8B33-4E9B-ACD2-9EA71D30316B|Cunning Blow|Deals non-elemental damage to one enemy. Chance to inflict Severe Poison.
F42B63E4-A27B-4A79-A82A-A8BAFDF3E2BD|Death Scythe|Deals water damage to one enemy. Chance to inflict Bleeding.
66609752-26DD-433F-A7AD-38F42D67DF8B|Scissor Hold|Deals non-elemental damage to all enemies.
A8A34CBB-43FC-45E0-86CE-454F88DEF1B7|Torrent Flash|Deals water damage to all enemies.
F799D1DB-952F-4380-B1EF-0230664FEC51|Refresh|Cures the user of abnormal statuses.
138D46A0-7EBC-4843-B3B2-A0AC9A004BF1|Snowball Attack|Deals ice damage to one enemy and inflicts Speed Down.
41390DE8-24DD-4C87-B18F-DC5BE3E1DC40|White Breath|Deals ice damage to one enemy and inflicts Accuracy Down.
D324F99A-9508-4DAA-B362-FD9D6EDEB372|Gale Trap|Deals non-elemental damage to all enemies, then sets a trap that continuously deals non-elemental damage.
1B91C7B8-58CA-42FA-BB58-E55EA4250B01|Heavy Spear|Deals non-elemental damage to one enemy. Very low chance to hit.
61DE588D-EDFC-416C-B35A-005BD8DFC398|Rock Shooter|Deals non-elemental damage to one enemy.
33654A4F-257C-4DAE-BB39-3ECF2D030408|Lock-On|For several turns, guarantees attacks by the user will hit.
0EDABF6F-D1FC-44C7-91AA-269F26D6A09C|Savage Fist|Deals non-elemental damage to one enemy and inflicts Defense Down.
F2D15275-E7E5-4C3A-8251-7EBBA736EBBF|Reverberating Roar|Deals non-elemental damage to all enemies. Chance to inflict Stun. Chance to strike first. Has the same effect as a Sonic Bomb.
35E5CDDE-8964-41AF-B0D6-BFBE4DF846A0|Heavy Strike|Deals non-elemental damage to one enemy. Very low chance to hit.
C7042443-0905-482D-BD30-D62B4DAFD755|Rock Slugger|Deals non-elemental damage to one enemy.
F8599960-B8A8-45F8-94B7-B566A47E5DF9|Heavy Rampage|Deals non-elemental damage to one enemy. Very low chance to hit.
26A8F644-6D5E-48E2-91C8-F6BE205F6F07|Ground Crusher|Deals non-elemental damage that ignores defense to one enemy.
BA4591B8-A90A-4089-A787-06EBC876B916|Sharpen Blades|Grants Critical Up to the user.
2DA9659F-19B0-48E4-8559-EA17B034CB4F|Spike Bomb|Deals non-elemental damage to all enemies.
4D42D8F5-82B7-4DB7-8EAA-A605476D3D2C|Killer Tail|Deals non-elemental damage to one enemy. Very high chance of landing a critical hit.
887DAFE6-6D12-4E9D-9F78-0F1A10CDC09E|Sneak|Grants Dodge Up to the user.
1A3E3003-F962-472A-90E8-E96183409B7F|Stun Spike Bomb|Deals non-elemental damage to all enemies. Chance to inflict Stun. High chance to strike first.
9CC0C47D-D1CF-43C8-B46E-8692FE8E7B8B|Assassin Tail|Deals non-elemental damage to one enemy. Very high chance of landing a critical hit. Chance to inflict 1-Hit KO.
773078DD-36C8-4E2F-A118-F30AAE0B48BA|White Shadow|Evades attacks aimed at the user on the turn this skill is used and the following turn.
BC88245F-E1A7-4E56-B19E-1B268BDD3182|Guided Spike Bomb|Deals non-elemental damage to one enemy. Guaranteed to hit.
D0D4A705-1833-4D5B-94F0-ADB3D7986CF8|Vacuum Blast|Deals non-elemental damage to all enemies. Chance to inflict Bleeding.
21BF6FDE-9484-4BDC-A307-739AE16CF109|Snow Spray|Deals ice damage to one enemy and inflicts Speed Down.
89EA9503-DFA7-4E31-A7D2-25CDA973993F|Ice Burst|Deals ice damage to all enemies and inflicts Evasion Down.
50DA20EF-E746-41C7-BAFB-8C817720AC47|Desert Spray|Deals non-elemental damage to one enemy. Chance to inflict Darkness.
48284476-CD1E-4E2E-9C89-078778D9FFC8|Mud Splash|Deals water damage to all enemies and inflicts Evasion Down.
50DBBBA6-78F8-4D2F-961D-6C20FD192ACC|Debuff Chaser S|Deals non-elemental damage to one enemy. Targets with decreased stats take more damage.
5D579867-4662-4E00-A4AC-433422EFAE1F|Mud Armor|Grants Attack Up and Defense Up to the user, but also reduces Speed.
D21D7118-13A4-4019-A221-4B187E236AAE|Ice Armor|Grants Wyvernfell Up and Defense Up to the user, but also reduces Speed.
8E7BC1F1-7848-4D45-9A13-6ED86EA7D6FE|Electro Breath|Deals thunder damage to one enemy. Chance to inflict Paralysis.
FCDDAA69-14CF-4BE3-82D2-3FADD4CF1BC9|Thunder Aura|Grants Attack Up to the user, and attacks become capable of inflicting Paralysis.
9F1FBC48-AE90-4615-A853-325FE5D772F8|Plasma Blast|Deals thunder damage to all enemies. Chance to inflict Paralysis.
2CC65360-8BD6-475D-8EFA-614ED4F29475|Plasma Pressure|Deals thunder damage to one enemy. High chance of a critical hit.
70F6220B-A1A5-4C88-9F15-682AF1AB32A7|Royal Decree|Inflicts Attack Down on all enemies.
0DB184EE-28D0-4B57-B916-4304E255A420|Poison Spit|Deals water damage to one enemy. Chance to inflict Poison.
A1E4DE7A-CBF8-4ED7-BC6E-47F91B96DEAA|Toxic Hazard|Deals water damage to one enemy. Chance to inflict Poison.
761E3EE3-0A87-4D6F-8602-0FAA42BCE316|Noxious Spit|Deals water damage to one enemy. Chance to inflict Noxious Poison.
DBB15760-B57E-45CC-8F05-C0632AFCDF40|Thunderbug Strike|Deals thunder damage to one enemy. Chance to inflict Paralysis.
96A57652-93E1-4C30-BD03-5D9D44028FBF|Thunderfist|Deals thunder damage to one enemy.
3E65F98D-AAE3-4DB1-8968-022FB23CEC13|Dracophage Shot|Deals dragon damage to one enemy and inflicts Wyvernsoul Defense Down.
2F52909B-77BC-48B4-8DF0-6A4976B0BF42|Dragon Surge|Grants Dragon Attack Up to the user.
FBF44C70-4817-4D20-9790-72EFB3D111C7|Dragonfist|Deals dragon damage to one enemy.
25018022-4044-431F-8F79-B67B72D859B2|Thunderbug Blitz|Deals thunder damage to one enemy. Chance to inflict Paralysis.
A28EB31A-5F5B-45C0-A0D6-A02C95FC871B|Ultra Voltage|Grants Thunder Attack Up to the user.
383542C8-1440-4A5D-8BA6-1C21F32F1A66|Thundercall|Deals thunder damage to random enemies.
D625A68E-F83D-4969-91A5-E6D55B01620A|Honey Power|Grants Regenerate to the user.
04937BA2-E53D-44CC-BDB3-DE887D507DBD|Wild Breaker|Deals non-elemental damage to one enemy and inflicts Defense Down.
15C2FAD0-867E-408F-9A9A-F2C9BB3354ED|Maximum Claw Slash|Deals non-elemental damage to one enemy, but also inflicts Defense Down on the user.
DC106D8F-7083-436F-9208-6A71E7DD7B02|Arachnophobia|Deals non-elemental damage to one enemy. Chance to inflict Poison and Paralysis.
B75F00CC-78D4-488A-B889-1E3935536DD5|Parapoison Chaser|Deals non-elemental damage to one enemy. Targets inflicted with Poison or Paralysis take more damage.
FA37ADD0-3E8C-4494-B6DA-411B57D7A367|Toxic Needle|Deals non-elemental damage to one enemy. Chance to inflict Poison and 1-Hit KO.
9FD86596-4082-4BA3-9870-C9265FD25456|Thousand Blades|Deals non-elemental damage to one enemy. Chance to inflict Bleeding.
EBD0EC1A-6EDD-49C0-9988-DBD80E194A94|Merciless Roar|Grants Attack Up to all allies.
1F5CA71D-796D-4620-8503-C1483F9A42EA|Shredding Scales|Deals non-elemental damage to all enemies. Chance to inflict Bleeding. High chance of landing a critical hit.
120BCE6A-04B8-42A2-B224-A519726848B8|Searing Blade|Deals fire damage to one enemy. Chance to inflict Burn.
E49D8A79-60B4-4F82-8AFD-96EB7F921ADA|Firebrand|Deals fire damage to one enemy. High chance of landing a critical hit.
B2F6C06E-C5B7-44E3-B8BE-FF2EADAA60F5|Plasma Cannon|Deals thunder damage to one enemy. Chance to inflict Paralysis.
70EDAFF6-3205-406F-9F62-161580D134D9|Vengeful Thunder|Deals thunder damage to one enemy, inflicting greater damage the lower the user's HP is.
C6FC06ED-3FE9-4D5A-A9A4-7E33A4EF45A4|Thunder Smash|Deals thunder damage to all enemies and inflicts Thunder Defense Down.
4EB32C6D-7A60-4042-BCE0-64DA81D8E05D|Ray Blade|Deals thunder damage to one enemy. Chance to inflict Paralysis.
46E5A8A4-1E54-499E-A2F0-42B5B8FF12B3|Azure Voltage|Grants Thunder Attack Up to the user, but also lowers defense. Greatly increases damage dealt by the user on the next turn.
B8AD5976-4281-4A6A-B3C7-B7ECCDA7FDCC|Blue Plasma|Deals thunder damage to all enemies. Chance to inflict Paralysis.
4B9B380A-AF02-4141-972B-A0909341D6E6|Hydroshot|Deals water damage to one enemy.
E419A6E4-7D51-41B4-973B-9C75D5C9CCD3|Bubbly Dance|Grants Water Attack Up, Dodge Up, and Regenerate to the user.
702D7E74-2E21-4F33-8412-0CDC1FBCF1D1|Fleeting Effervescence|Deals water damage to all enemies.
E97209B0-EAB8-450D-974E-EFF3C9E4E5DB|Foxflame Bubbles|Deals water damage to one enemy and inflicts Accuracy Down. Chance to inflict Burn.
616BECE5-D429-46C7-A550-7F0E7923F02C|Groom|Grants Ailment Inflict Rate Up and Water Attack Up to the user.
E02F5926-335D-4481-81EA-8CA1475DC8FA|Spiral Chaser|Deals non-elemental damage to one enemy. Targets inflicted with Burn take more damage.
6CDAD1BD-01A7-4420-B3EB-03C90BB8490F|Spiral Tail Stab|Deals non-elemental damage to one enemy. Chance to inflict Blastblight.
22AF94E7-06E6-4CA2-B4A0-0AAE963FDB6F|Hellfire Retribution|Deals non-elemental damage to all enemies. Deals increased damage to those afflicted with Blastblight, then detonates it immediately.
11091A5F-796F-4744-B5E2-CE4497FB881D|Hellfire Shot|Deals non-elemental damage to one enemy. Chance to inflict Blastblight.
757FFDE9-AAA1-4751-9AC5-51FA4F05C099|Furious Spin|Deals non-elemental damage to one enemy.
5DFCC679-4BEA-4617-A12E-B7C82542809D|Jumbofruit|Recovers the user's HP.
C93796EE-E007-4919-ABF4-4EDEAC8892F2|Fruit Frenzy|Deals non-elemental damage to random enemies. Chance to inflict Poison, Paralysis, and Darkness.
CA6216A0-EC34-4DA2-B16B-C331B19AF19C|Nourishing Pinecones|Recovers the user's Stamina.
92B7616E-7A98-41C9-B8EF-3F9793DF18F6|Great Flaming Vortex|Deals fire damage to one enemy. Targets inflicted with Burn take more damage.
3E178DCA-C75E-48D3-9679-2C22AAB429E6|Prancing Back Kick|Deals non-elemental damage to one enemy. Guaranteed to hit.
B7CC03C6-F877-4A36-82C1-022BE2ECE392|Fireball Frolic|Deals fire damage to random enemies. Chance to inflict Burn.
820E92C3-8CFB-4452-B935-2685EDB37E55|Felyne Frazzle|Deals a set amount of damage equal to skill power to one enemy. Chance to inflict Stun. High chance to strike first.
EE8C442F-C4FD-4A40-A487-CFD8BDE2D537|Cannonball Slam|Deals non-elemental damage to one enemy.
01E276F1-17DE-4123-951D-AD402FC51287|Siren's Temptation|Deals water damage to one enemy. Targets inflicted with Sleep take more damage. High chance to strike first.
A6739599-3B2A-447B-B402-D0E105E1DEE1|Sleep Powder|Deals water damage to all enemies. Chance to inflict Sleep.
25A45CEA-9184-47C0-BAC6-944EE90AFC4F|Chilling Charge|Deals ice damage to one enemy and inflicts Speed Down.
4648C7BE-7336-4F3F-A402-EAE655FB1297|Chilling Paean|Grants Ice Attack Up to the user.
C9EDCF4C-529C-4F9B-89E7-6E9D92D0C024|Chilling Spin|Deals ice damage to one enemy.
90393F59-3758-4D65-8810-7A423F804A53|Entangling Threads|Deals non-elemental damage to all enemies and inflicts Speed Down.
FC551588-4614-48D3-AB80-A337F2D8D6CD|Debuff Chaser T|Deals non-elemental damage to one enemy. Targets with decreased stats take more damage.
7206CD4F-01C5-4D7E-BB23-3F086E5979B9|Encompassing Flames|Deals fire damage to all enemies. Chance to inflict Burn.
705B1F68-E424-4798-B573-205E0FF3A6B8|Mud Supply|Grants Water Attack Up to the user.
3AA623E3-5F2C-4D2E-B6F1-A8A3609196B2|Mud Torrent|Deals water damage to one enemy, then sets a trap that continuously deals water damage.
FCF35054-5AAB-4006-8C05-280B50EE2D08|Muddy Hell|Deals water damage to all enemies, then sets a trap that continuously deals water damage.
239EC37F-9AE1-451C-A413-9E16228B2595|Devil's Hammer|Deals a set amount of damage equal to skill power to one enemy. Chance to inflict Stun. High chance to strike first.
57E6FAF7-4F08-44DC-82DE-C2610C9C6BF4|Frozen Flurry|Deals ice damage to one enemy, inflicting greater damage with repeated use.
A2909B3B-3212-483A-9E33-A2B7BBB8F94E|Frosty Furrow|Deals ice damage to one enemy.
C0B1D729-503F-4B4D-A158-8B4806E0F72D|Sickle Tail|Deals non-elemental damage to one enemy. High chance of landing a critical hit.
97F2DF5E-0293-4568-ADEA-1DBBFC95F8A2|Piercing Roar|Grants Critical Up to all allies.
82AA92BC-B18E-442B-B38C-801EC4325850|Tail Twister|Deals non-elemental damage to one enemy. Low hit rate, but a high chance of landing a critical hit.
D2F142A5-6BC4-43C2-BDD5-399751A7C29C|Plasma Jet|Deals thunder damage to one enemy. Chance to inflict Paralysis.
32D2FE30-6149-4B8A-9FA5-D91EFC1C6AD6|Wild Fang|Deals non-elemental damage to one enemy. High chance of landing a critical hit.
7E6E73C2-FD5F-4A18-8423-764BA3741885|Thunder Rampage|Deals thunder damage to all enemies. Chance to inflict Paralysis.
41C07945-5285-43D9-A183-32B188497529|Stone Shield|Grants Defense Up to the user.
85AEF56A-3DA1-4D4A-8E7E-A1BB5E0C9792|Rock Launcher|Deals non-elemental damage to one enemy.
