# generated by .xlsx-source/extract.py from monsterpicturebookdata on 2026-04-19
# schema: name|enemy_id|otomon_id|regions|areas|dungeons|habitat|main_flavour|trace_items|mutation_monster
Aptonoth|Aptonoth||R0 (Azuria) NONE|A000 NONE|None None||Herbivorous monsters that live in herds and are known for the unique protrusion on their heads. A familiar sight in towns and villages, they are often employed to pull carts and carriages.|IT_BOOK_TRACE_127 (Pack Footprints) IT_BOOK_TRACE_128 (Tasty-Looking Meat)|0
Slagtoth|Green Slagtoth||R1 (Canalta) R2 (Tarkuan)|B000 C002|None None||Highly territorial herbivores that live near bodies of water. They store nutrients in their thick, sagging hides.|IT_BOOK_TRACE_147 (Precious Medicinal Oil) IT_BOOK_TRACE_148 (Huge Droopy Hide)|0
Kelbi|Kelbi||R0 (Azuria) R1 (Canalta)|A000 B000|None None||A dainty, small-statured herbivore. Like other herbivorous beasts, it has a gentle disposition and is easily spooked. It will quickly hop away from any perceived threats.|IT_BOOK_TRACE_129 (Tiny Footprints) IT_BOOK_TRACE_130 (Slender Horn)|0
Moofah|Moofah||NONE NONE|NONE NONE|None None|Azuria Castle Town|Small, extremely tractable herbivores that can be found throughout Azuria. Their fluffy, high-quality fur has been used in clothing and ceremonial tools since ancient times.|IT_BOOK_TRACE_151 (Fluffy Ball of Wool) IT_BOOK_TRACE_152 (Tasty Moofah Milk)|0
Bnahabra|Red Bnahabra||NONE NONE|NONE NONE|None None|All Regions|Neopterons that thrive in almost any environment. They fend off invaders with stingers full of paralyzing venom and are known for rapidly proliferating by laying their eggs in carrion.|IT_BOOK_TRACE_143 (Corrosive Fluid) IT_BOOK_TRACE_144 (Delicate Shell)|0
Great Thunderbugs|Great Thunderbugs||R1 (Canalta) R1 (Canalta)|B002 NONE|None dg200 (Narrow Passage)||Some think this type of Thunderbug mutated inside an Elder Dragon. While they can be seen where Elder Dragons reside, sightings have also been reported in caves and near water sources at night.|IT_BOOK_TRACE_135 (Small Neopteron Wing) IT_BOOK_TRACE_136 (Electrified Fluid)|0
Great Dracophage Bugs|Great Dracophage Bugs||R3 (Serathis) R3 (Serathis)|D000 D002|None None||Large Dracophage Bugs. Dragon energy is said to lie dormant within their bodies. These glimmering creatures still hold many secrets yet to be discovered.|IT_BOOK_TRACE_159 (Elder Dragon Claw Marks) IT_BOOK_TRACE_160 (Signs of an Explosion)|0
Barrel Felyne|Barrel Felyne||NONE NONE|NONE NONE|None None|All Regions|In this case, curiosity got the Felyne's head stuck in a barrel. Fearing the approach of monsters, it will run at the slightest noise, so helping out this timid creature may be rather difficult.|IT_BOOK_TRACE_157 (Barrel Shard) INVALID|0
Great Barrel Felyne|Great Barrel Felyne||NONE NONE|NONE NONE|None None|All Regions|A Felyne that, due to its unusually large girth, tragically got stuck in a large barrel. While this would be impossible for Felynes of a more modest size, there's no reason to shame the poor thing.|IT_BOOK_TRACE_158 (Big Barrel Fragment) INVALID|0
Remobra|Remobra||R2 (Tarkuan) R3 (Serathis)|C000 D000|None None||This small Snake Wyvern boasts remarkable flight capabilities with which it descends upon weakened prey. As it is often spotted near Elder Dragons, it became known as a harbinger of disaster.|IT_BOOK_TRACE_137 (Gnawed-On Carcass) IT_BOOK_TRACE_138 (Striped Hide)|0
Gargwa|Gargwa||R1 (Canalta) R1 (Canalta)|B000 NONE|None dg201 (Dragonreach Mountains)||Bird Wyverns found in plains and other flat terrain. The wings are vestigial organs that are incapable of flight. These monsters are prized as livestock for their wide variety of uses.|#N/A|0
