# generated by .xlsx-source/extract.py from enemydata on 2026-04-19
# schema: name|species|element|level|non_elem|fire|water|thunder|ice|dragon|atk_rank|def_rank|hp_rank|heal_rank|crit_rate|speed|slash_dmg|blunt_dmg|pierce_dmg|monster_dmg|poison_hit|burn_hit|paralysis_hit|sleep_hit|blast_hit|bleed_hit|blind_hit|sonic_bomb_rate|status_type_1|status_type_2|status_type_3|monstie_id|exp_rate|materials|break_materials
Rathian|RACE_02 (Flying Wyvern)||14|||||||ATTACK_RANK_06|DEFENCE_RANK_04|HP_RANK_05|HEAL_RANK_01|0|11|0|0|0|100|30|30|70|70|70|70|70|70||||Rathian|3.799999952|IT_WEAPON_001 (Rathian Shell) IT_WEAPON_002 (Rathian Spike) IT_WEAPON_003 (Rathian Plate) INVALID|IT_WEAPON_001 (Rathian Shell)
Pink Rathian|RACE_02 (Flying Wyvern)||24|||||||ATTACK_RANK_07|DEFENCE_RANK_05|HP_RANK_05|HEAL_RANK_01|0|11|0|0|0|100|30|30|70|70|70|70|70|30||||Pink Rathain|4.199999809|IT_WEAPON_004 (Pink Rathian Shell) IT_WEAPON_005 (Pink Rathian Thorn) IT_WEAPON_006 (Pink Rathian Plate) INVALID|IT_WEAPON_004 (Pink Rathian Shell)
Rathalos|RACE_02 (Flying Wyvern)||54|||||||ATTACK_RANK_07|DEFENCE_RANK_07|HP_RANK_08|HEAL_RANK_01|0|11|0|0|0|100|30|30|70|70|70|70|70|70||||Rathalos|9.899999619|IT_WEAPON_007 (Rathalos Scale) IT_WEAPON_008 (Rathalos Webbing) IT_WEAPON_009 (Rathalos Plate) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_007 (Rathalos Scale)
Azure Rathalos|RACE_02 (Flying Wyvern)||68|||||||ATTACK_RANK_07|DEFENCE_RANK_07|HP_RANK_08|HEAL_RANK_01|0|11|0|0|0|100|30|30|70|70|70|70|70|30||||Azure Rathalos|14.39999962|IT_WEAPON_010 (Azure Rathalos Scale) IT_WEAPON_011 (Azure Rathalos Web) IT_WEAPON_012 (Azure Rathalos Plate) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_010 (Azure Rathalos Scale)
Bound Azure Rathalos|RACE_02 (Flying Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|11|0|0|0|100|30|30|70|30|70|70|70|30||||INVALID|59.20000076|INVALID INVALID INVALID INVALID|INVALID
Khezu|RACE_02 (Flying Wyvern)||27|||||||ATTACK_RANK_06|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|9|0|0|0|0|70|70|30|30|70|30|0|100||||Khezu|4.699999809|IT_WEAPON_013 (Flabby Hide) IT_WEAPON_014 (Khezu Webbing) IT_WEAPON_015 (Pale Bone) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_013 (Flabby Hide)
Khezu|RACE_02 (Flying Wyvern)||1|||||||ATTACK_RANK_08|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|9|0|0|0|0|70|70|30|30|70|30|0|100||||INVALID|4.699999809|IT_WEAPON_013 (Flabby Hide) IT_WEAPON_014 (Khezu Webbing) IT_WEAPON_015 (Pale Bone) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_013 (Flabby Hide)
Red Khezu|RACE_02 (Flying Wyvern)||34|||||||ATTACK_RANK_06|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|9|0|0|0|0|70|70|30|30|70|30|0|70||||Red Khezu|6.199999809|IT_WEAPON_016 (Alluring Hide) IT_WEAPON_017 (Alluring Webbing) IT_WEAPON_018 (Alluring Wing) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_016 (Alluring Hide)
Gravios|RACE_02 (Flying Wyvern)||44|||||||ATTACK_RANK_07|DEFENCE_RANK_10|HP_RANK_04|HEAL_RANK_01|0|6|0|0|0|0|30|0|70|30|100|30|100|70||||Gravios|8.699999809|IT_WEAPON_019 (Gravios Shell) IT_WEAPON_020 (Gravios Scalp) IT_WEAPON_021 (Gravios Marrow) INVALID|IT_WEAPON_019 (Gravios Shell)
Black Gravios|RACE_02 (Flying Wyvern)||58|||||||ATTACK_RANK_08|DEFENCE_RANK_10|HP_RANK_04|HEAL_RANK_01|0|6|0|0|0|0|30|0|70|30|100|30|100|30||||Black Gravios|13.80000019|IT_WEAPON_022 (Black Gravios Shell) IT_WEAPON_023 (Black Gravios Scalp) IT_WEAPON_024 (Black Gravios Marrow) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_022 (Black Gravios Shell)
