# generated by .xlsx-source/extract.py from enemypartsdata on 2026-04-19
# schema: parts_id|monster|part_num|max_hp|slash_parts_dmg|blunt_parts_dmg|pierce_parts_dmg|monster_parts_dmg|slash_hp_dmg|blunt_hp_dmg|pierce_hp_dmg|monster_hp_dmg|broken_parts_id|sp_dmg|is_blightstone|break_bonus
ID_PARTS_EM0001_00_00_1|EM0001_00_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0001_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0001_00_00_2|EM0001_00_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0001_00_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0001_00_00_3|EM0001_00_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0001_00_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0001_01_00_1|EM0001_01_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0001_01_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0001_01_00_2|EM0001_01_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0001_01_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0001_01_00_3|EM0001_01_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0001_01_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0008_00_00_1|EM0008_00_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0008_00_00_1|20|False|BG_DAMAGE NONE
ID_PARTS_EM0008_00_00_2|EM0008_00_00|2|30|-30|-30|30|0|-10|-10|10|0|ID_PARTS_EM0008_00_00_2|0|False|BG_DAMAGE NONE
ID_PARTS_EM0008_00_00_3|EM0008_00_00|3|30|30|-30|-30|0|10|-10|-10|0|ID_PARTS_EM0008_00_00_3|-20|False|BG_DAMAGE NONE
ID_PARTS_EM0008_10_00_1|EM0008_10_00|1|20|0|-60|-60|-20|10|-10|-10|0|ID_PARTS_EM0008_00_00_3|-60|True|SKILL_NURF STUN
ID_PARTS_EM0008_01_00_1|EM0008_01_00|1|30|-30|30|-30|0|-10|10|-10|0|ID_PARTS_EM0008_01_00_1|20|False|BG_DAMAGE NONE
