# generated by .xlsx-source/extract.py from MHS3 Statsheet + otomondata on 2026-04-19
# schema: name|rank|type|element|hp|atk|def|spe|crit|starting_stam|stam_recovery|stam_pattern|wyvernfell|bingo2|bingo3|bingo5|species|bulk|total_stats
Deviljho|7.0|Power|Dragon|7.0|9.0|2.0|5.0|0.0|70.0|4.0|Starter|36.0|Crit Rate +3|Starting Stamina +10|Wyvernfell +15|RACE_04 (Brute Wyvern)|9|23
Great Poogie|7.0|Power|Neutral|5.0|10.0|1.0|10.0|0.0|30.0|12.0|Regen|36.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_14 (Unknown)|6|26
Grimclaw Tigrex|7.0|Power|Neutral|7.0|10.0|1.0|7.0|0.0|70.0|4.0|Starter|36.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|8|25
Thundelord Zinogre|7.0|Power|Thunder|8.0|10.0|2.0|7.0|0.0|70.0|4.0|Starter|36.0|Wyvernfell +5|Crit Rate +5|Speed +3||10|27
Bloodbath Diablos|7.0|Speed|Neutral|9.0|10.0|2.0|7.0|0.0|50.0|8.0|Average|36.0|Wyvernfell +5|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|11|28
Dreadking Rathalos|7.0|Power|Fire|8.0|9.0|2.0|6.0|0.0|70.0|4.0|Starter|40.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|10|25
Hellblade Glavenus|7.0|Speed|Fire|7.0|10.0|1.0|5.0|0.0|70.0|4.0|Starter|36.0|Wyvernfell +5|Starting Stamina +10|Crit Rate +7|RACE_04 (Brute Wyvern)|8|23
Deadeye Yian Garuga|7.0|Speed|Fire|6.0|8.0|3.0|7.0|10.0|50.0|8.0|Average|36.0|Speed +1|Starting Stamina +10|Crit Rate +7|RACE_01 (Bird Wyvern)|9|24
Soulseer Mizutsune|7.0|Speed|Water|7.0|8.0|2.0|5.0|10.0|70.0|4.0|Starter|36.0|Speed +1|Crit Rate +5|Stamina Recovery +4|RACE_07 (Leviathan)|9|22
Dreadqueen Rathian|7.0|Speed|Fire|8.0|8.0|3.0|7.0|0.0|70.0|4.0|Starter|40.0|Speed +1|Starting Stamina +10|Crit Rate +7|RACE_02 (Flying Wyvern)|11|26
Malzeno|7.0|Speed|Dragon|8.0|8.0|6.0|9.0|0.0|70.0|4.0|Starter|36.0|Speed +1|Starting Stamina +10|Wyvernfell +15|RACE_13 (Elder Dragon)|14|31
Boltreaver Astalos|7.0|Technical|Thunder|6.0|9.0|1.0|8.0|15.0|70.0|4.0|Starter|36.0|Speed +1|Stamina Recovery +3|Crit Rate +7|RACE_02 (Flying Wyvern)|7|24
Silverwind Nargacuga|7.0|Speed|Neutral|6.0|7.0|1.0|10.0|20.0|70.0|4.0|Starter|32.0|Crit Rate +3|Stamina Recovery +3|Starting Stamina +15|RACE_02 (Flying Wyvern)|7|24
Namielle|7.0|Technical|Water|10.0|7.0|8.0|6.0|0.0|70.0|4.0|Starter|44.0|Crit Rate +3|Speed +2|Stamina Recovery +4|RACE_13 (Elder Dragon)|18|31
