# generated by .xlsx-source/extract.py from worldotomonactionlist on 2026-04-19
# schema: monstie|general|jump|climb|swim|fly|underground|stealth|breath|hatch_fly_set|hatch_swim_set|dash_level|fly_dash_level|wall_dash_level|swim_dash_level
Rathian|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Pink Rathain|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Dreadqueen Rathian|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Rathalos|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Ratha|True|True|False|False|True|False|False|True|False|False|1|1|0|0
OT0002_00_15|True|True|False|False|False|False|False|True|False|False|-1|0|0|0
Ratha V|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Azure Rathalos|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Dreadking Rathalos|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Khezu|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Red Khezu|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Gravios|True|True|False|False|True|True|False|True|False|False|1|1|0|0
Gravy|True|True|False|False|True|True|False|True|False|False|1|1|0|0
Black Gravios|True|True|False|False|True|True|False|True|False|False|1|1|0|0
Diablos|True|True|False|False|False|True|False|False|False|False|1|0|0|0
Black Diablos|True|True|False|False|False|True|False|False|False|False|1|0|0|0
Bloodbath Diablos|True|True|False|False|False|True|False|False|False|False|1|0|0|0
Yian Kut-Ku|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Blue Yian Kut-Ku|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Gypceros|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Purple Gypceros|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Plesioth|True|True|False|True|False|False|False|True|False|True|1|0|0|2
Green Plesioth|True|True|False|True|False|False|False|True|False|True|1|0|0|2
Plessie|True|True|False|True|False|False|False|True|False|False|1|0|0|2
Velocidrome|True|True|False|False|False|False|False|False|False|False|1|0|0|0
Yian Garuga|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Deadeye Yian Garuga|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Shogun Ceanataur|True|True|False|False|False|True|False|True|False|False|1|0|0|0
Blangonga|True|True|True|False|False|False|False|True|False|False|1|0|-1|0
Tigrex|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Brute Tigrex|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Grimclaw Tigrex|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Nargacuga|True|True|True|False|False|False|True|False|False|False|1|0|3|0
Green Nargacuga|True|True|True|False|False|False|True|False|False|False|1|0|3|0
Silverwind Nargacuga|True|True|True|False|False|False|True|False|False|False|1|0|3|0
Barioth|True|True|True|False|True|False|False|True|False|False|1|1|3|0
Sand Barioth|True|True|True|False|True|False|False|True|False|False|1|1|3|0
Deviljho|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Barroth|True|True|False|False|False|True|False|True|False|False|1|0|0|0
Jade Barroth|True|True|False|False|False|True|False|True|False|False|1|0|0|0
Lagiacrus|True|True|False|True|False|False|False|True|False|True|1|0|0|3
Ivory Lagiacrus|True|True|False|True|False|False|False|True|False|True|1|0|0|3
Royal Ludroth|True|True|False|True|False|False|False|True|False|True|1|0|0|1
Purple Ludroth|True|True|False|True|False|False|False|True|False|True|1|0|0|1
Zinogre|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Stygian Zinogre|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Thunderlord Zinogre|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Arzuros|True|True|False|False|False|False|False|False|False|False|1|0|0|0
Brachydios|True|True|False|False|False|False|False|False|False|False|1|0|0|0
Nerscylla|True|True|True|False|False|False|False|False|False|False|1|0|1|0
Shrouded Nerscylla|True|True|True|False|False|False|False|False|False|False|1|0|1|0
Seregios|True|True|False|False|True|False|False|False|True|False|1|1|0|0
Sereg|True|True|False|False|True|False|False|False|True|False|1|1|0|0
Glavenus|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Dee|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Hellblade Glavenus|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Astalos|True|True|False|False|True|False|False|False|True|False|1|1|0|0
Boltreaver Astalos|True|True|False|False|True|False|False|False|True|False|1|1|0|0
Mizutsune|True|True|False|True|False|False|False|True|False|False|1|0|0|1
Soulseer Mizutsune|True|True|False|True|False|False|False|True|False|False|1|0|0|1
Magnamalo|True|True|True|False|False|False|False|False|False|False|1|0|-1|0
Bishaten|True|True|True|False|True|False|False|False|False|False|1|1|1|0
Blood Orange Bishaten|True|True|True|False|True|False|False|False|False|False|1|1|1|0
Aknosom|True|True|False|False|True|False|False|True|True|False|1|1|0|0
Tetranadon|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Somnacanth|True|True|False|True|False|False|False|True|False|True|1|0|0|2
Aurora Somnacanth|True|True|False|True|False|False|False|True|False|True|1|0|0|2
Rakna-Kadaki|True|True|False|False|False|False|False|False|False|False|1|0|0|0
Almudron|True|True|False|True|False|True|False|False|False|False|1|0|0|1
Goss Harag|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Gnocchi|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Great Izuchi|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Anjanath|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Angie|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Fulgur Anjanath|True|True|False|False|False|False|False|True|False|False|1|0|0|0
Pukei-Pukei|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Chirpy|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Kulu-Ya-Ku|True|True|False|False|False|False|False|False|False|False|1|0|0|0
Tobi-Kadachi|True|True|True|False|True|False|False|False|False|False|1|1|3|0
Kagachi|True|True|True|False|True|False|False|False|False|False|1|1|3|0
OT0109_00_25|True|True|False|False|False|False|False|False|False|False|-1|0|0|0
Paolumu|True|True|False|False|True|False|False|False|True|False|1|1|0|0
Legiana|True|True|False|False|True|False|False|False|True|False|1|1|0|0
Legiana|True|True|False|False|True|False|False|False|False|False|1|1|0|0
Fawn|True|True|False|False|True|False|False|False|False|False|1|1|0|0
Legia|True|True|False|False|True|False|False|False|False|False|1|1|0|0
Odogaron|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Ebony Odogaron|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Velkhana|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Namielle|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Malzeno|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Lunagaron|True|True|True|False|False|False|False|True|False|False|1|0|3|0
Garangolm|True|True|True|False|False|False|False|False|False|False|1|0|1|0
Golma|True|True|True|False|False|False|False|False|False|False|1|0|1|0
Espinas|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Chatacabra|True|True|False|False|False|False|False|False|False|False|1|0|0|0
Rey Dau|True|True|False|False|True|False|False|False|True|False|1|1|0|0
Ajarakan|True|True|True|False|False|False|False|False|False|False|1|0|3|0
Arkveld|True|True|False|False|True|False|False|True|False|False|1|1|0|0
Great Poogie|True|True|False|False|False|False|False|False|False|False|1|0|0|0
Canyne|True|True|True|False|False|True|False|False|False|False|1|0|2|0
OT0501_00_30|True|True|True|False|False|True|False|False|False|False|1|0|2|0
OT0501_00_31|True|True|True|False|False|True|False|False|False|False|1|0|2|0
OT0501_00_32|True|True|True|False|False|True|False|False|False|False|1|0|2|0
OT0501_00_33|True|True|True|False|False|True|False|False|False|False|1|0|2|0
OT0501_00_34|True|True|True|False|False|True|False|False|False|False|1|0|2|0
