# generated by .xlsx-source/extract.py from playerleveldata on 2026-04-19
# schema: level|hp|attack|defense|initial_stamina|stamina_regen|stamina_attack|stamina_defense|regeneration|speed|affinity|skill_rate|next_xp
1|38|8|7|50|8|10|0|0|11|0|100|0
2|46|13|11|50|8|10|0|0|11|0|100|0
3|53|17|15|50|8|10|0|0|11|0|100|0
4|60|21|18|50|8|10|0|0|11|0|100|0
5|68|24|21|50|8|10|0|0|11|0|100|0
6|75|27|24|50|8|10|0|0|11|0|100|0
7|82|30|27|50|8|10|0|0|11|0|100|0
8|88|33|29|50|8|10|0|0|11|0|100|0
9|95|36|31|50|8|10|0|0|11|0|100|0
10|101|38|33|50|8|10|0|0|11|0|100|0
11|108|40|35|50|8|10|0|0|11|0|100|0
12|113|42|37|50|8|10|0|0|11|0|100|0
13|120|44|39|50|8|10|0|0|11|0|100|0
14|125|46|40|50|8|10|0|0|11|0|100|0
15|131|48|42|50|8|10|0|0|11|0|100|0
16|136|50|43|50|8|10|0|0|11|0|100|0
17|141|51|44|50|8|10|0|0|11|0|100|0
18|147|52|46|50|8|10|0|0|11|0|100|0
19|152|54|47|50|8|10|0|0|11|0|100|0
20|156|55|48|50|8|10|0|0|11|0|100|0
21|161|58|51|50|8|10|0|0|11|0|100|0
22|166|59|52|50|8|10|0|0|11|0|100|0
23|171|60|54|50|8|10|0|0|11|0|100|0
24|175|63|55|50|8|10|0|0|11|0|100|0
25|180|64|57|50|8|10|0|0|11|0|100|0
26|184|66|59|50|8|10|0|0|11|0|100|0
27|188|69|61|50|8|10|0|0|11|0|100|0
28|192|71|63|50|8|10|0|0|11|0|100|0
29|196|72|65|50|8|10|0|0|11|0|100|0
30|200|75|68|50|8|10|0|0|11|0|100|0
31|204|77|70|50|8|10|0|0|11|0|100|0
32|208|81|73|50|8|10|0|0|11|0|100|0
33|212|83|75|50|8|10|0|0|11|0|100|0
34|216|86|78|50|8|10|0|0|11|0|100|0
35|220|90|81|50|8|10|0|0|11|0|100|0
36|225|93|85|50|8|10|0|0|11|0|100|0
37|229|95|88|50|8|10|0|0|11|0|100|0
38|234|99|90|50|8|10|0|0|11|0|100|0
39|239|103|95|50|8|10|0|0|11|0|100|0
40|243|107|99|50|8|10|0|0|11|0|100|0
41|248|112|102|50|8|10|0|0|11|0|100|0
42|252|115|106|50|8|10|0|0|11|0|100|0
43|257|118|109|50|8|10|0|0|11|0|100|0
44|263|123|111|50|8|10|0|0|11|0|100|0
45|268|126|114|50|8|10|0|0|11|0|100|0
46|272|129|118|50|8|10|0|0|11|0|100|0
47|278|131|119|50|8|10|0|0|11|0|100|0
48|283|134|122|50|8|10|0|0|11|0|100|0
49|288|137|125|50|8|10|0|0|11|0|100|0
50|294|139|127|50|8|10|0|0|11|0|100|0
51|300|142|130|50|8|10|0|0|11|0|100|0
52|304|143|131|50|8|10|0|0|11|0|100|0
53|311|147|133|50|8|10|0|0|11|0|100|0
54|316|149|135|50|8|10|0|0|11|0|100|0
55|322|150|136|50|8|10|0|0|11|0|100|0
56|328|153|138|50|8|10|0|0|11|0|100|0
57|334|154|139|50|8|10|0|0|11|0|100|0
58|340|156|141|50|8|10|0|0|11|0|100|0
59|346|158|142|50|8|10|0|0|11|0|100|0
60|352|159|143|50|8|10|0|0|11|0|100|0
61|356|161|145|50|8|10|0|0|11|0|100|0
62|360|162|147|50|8|10|0|0|11|0|100|0
63|364|164|149|50|8|10|0|0|11|0|100|0
64|368|165|151|50|8|10|0|0|11|0|100|0
65|372|168|153|50|8|10|0|0|11|0|100|0
66|376|170|154|50|8|10|0|0|11|0|100|0
67|380|172|156|50|8|10|0|0|11|0|100|0
68|383|174|157|50|8|10|0|0|11|0|100|0
69|387|176|161|50|8|10|0|0|11|0|100|0
70|390|179|163|50|8|10|0|0|11|0|100|0
71|393|181|165|50|8|10|0|0|11|0|100|0
72|396|184|168|50|8|10|0|0|11|0|100|0
73|400|186|171|50|8|10|0|0|11|0|100|0
74|402|190|174|50|8|10|0|0|11|0|100|0
75|405|193|177|50|8|10|0|0|11|0|100|0
76|408|196|179|50|8|10|0|0|11|0|100|0
77|411|200|183|50|8|10|0|0|11|0|100|0
78|413|203|186|50|8|10|0|0|11|0|100|0
79|416|206|190|50|8|10|0|0|11|0|100|0
80|419|211|193|50|8|10|0|0|11|0|100|0
81|421|214|197|50|8|10|0|0|11|0|100|0
82|424|217|198|50|8|10|0|0|11|0|100|0
83|426|220|201|50|8|10|0|0|11|0|100|0
84|428|223|204|50|8|10|0|0|11|0|100|0
85|431|226|206|50|8|10|0|0|11|0|100|0
86|433|228|209|50|8|10|0|0|11|0|100|0
87|435|230|210|50|8|10|0|0|11|0|100|0
88|437|233|213|50|8|10|0|0|11|0|100|0
89|440|235|215|50|8|10|0|0|11|0|100|0
90|441|237|217|50|8|10|0|0|11|0|100|0
91|444|238|218|50|8|10|0|0|11|0|100|0
92|445|240|220|50|8|10|0|0|11|0|100|0
93|447|242|221|50|8|10|0|0|11|0|100|0
94|449|245|222|50|8|10|0|0|11|0|100|0
95|451|246|224|50|8|10|0|0|11|0|100|0
96|452|247|226|50|8|10|0|0|11|0|100|0
97|454|248|227|50|8|10|0|0|11|0|100|0
98|456|250|228|50|8|10|0|0|11|0|100|0
99|457|251|239|50|8|10|0|0|11|0|100|0
