# generated by .xlsx-source/extract.py from stageparamtabledata on 2026-04-19
# schema: stage_id|name|region|stage_type|size_x|size_y
st100 (Azuria)|Azuria|Azuria|2|3072|3072
st200 (Canalta Timberland)|Canalta Timberland|Canalta|2|2560|2560
st300 (Tarkuan)|Tarkuan|Tarkuan|2|2560|3072
st400 (Serathis)|Serathis|Serathis|2|2048|3072
dg100 (Ashen Pass)|Ashen Pass|Azuria|3|1280|1280
dg200 (Narrow Passage)|Narrow Passage|Canalta|3|512|512
dg201 (Dragonreach Mountains)|Dragonreach Mountains|Canalta|3|1024|1024
dg300 (Muddled Marsh)|Muddled Marsh|Tarkuan|3|1024|1024
dg301 (Death's Maw)|Death's Maw|Tarkuan|3|1024|1536
dg999 (Terra Nativitas)|Terra Nativitas|Serathis|3|1024|1024
nt100||Azuria|2|512|512
nt101||Canalta|2|512|512
nt104||Azuria|2|512|512
nt105||Azuria|2|512|512
nt106||Tarkuan|2|512|512
nt108||Azuria|2|512|512
sd100 (Unexplored Cavern)|Unexplored Cavern|Azuria|3|512|512
sd101 (Subterranean River)|Subterranean River|Canalta|3|512|512
sd102 (Scaling Cave)|Scaling Cave|Tarkuan|3|512|512
sd103 (Frigid Pit)|Frigid Pit|Serathis|3|512|512
sd104||Azuria|3|1024|1024
sd105||Azuria|3|1024|1024
sd106||Azuria|3|1024|1024
sd107||Azuria|3|1024|1024
bc110 (Azuria Castle)|Azuria Castle|Azuria|1|3072|3072
bc210 (Sheparden)|Sheparden|Canalta|1|2560|2560
bc310 (Galyad)|Galyad|Tarkuan|1|2560|3072
bc320 (Ministry of Eggs)|Ministry of Eggs|Tarkuan|1|1024|1024
bc999||NONE|1|256|256
