# generated by .xlsx-source/extract.py from MHS3 Stats → Active Skills on 2026-04-19
# schema: name|target|type|element|stamina|power|wyvernfell|effects|source
Dragon Eater|Single|Power|Dragon|35.0|90.0|10.0|Drains HP|Deviljho
Dragon Eater+|Single|Power|Dragon|35.0|100.0|10.0|Drains HP|Deviljho
Dragon Blast|All|Power|Dragon|50.0|120.0|30.0|Wyvernsoul Def Down|Deviljho
Egg Skill: Dragon Roar|Single|Power|Dragon|25.0|50.0|40.0|Lower HP, Higher Damage|Egg
Pickaxe Beak|Single|Speed|Dragon|15.0|60.0|40.0|Wyvernsoul Def Down|Deadeye Yian Garuga
Draconic Flurry|Single|Speed|Dragon|15.0|50.0|20.0|Damage up on Repeated uses|Ebony Odogaron
Draconic Flurry+|Single|Speed|Dragon|15.0|60.0|20.0|Damage up on Repeated uses|Ebony Odogaron
Ravaging Growl|Single|Speed|Dragon|35.0|100.0|10.0|Dragon Def Down|Ebony Odogaron
Night Parasites|Single|Speed|Dragon|35.0|90.0|10.0|Drains HP|Malzeno
Night Parasites+|Single|Speed|Dragon|30.0|90.0|10.0|Drains HP|Malzeno
Dracophage Shot|Single|Technical|Dragon|20.0|70.0|30.0|Wyvernsoul Def Down|Stygian Zinogre
Dragonfist|Single|Technical|Dragon|60.0|150.0|10.0||Stygian Zinogre
Dragonfist+|Single|Technical|Dragon|60.0|150.0|20.0||Stygian Zinogre
Berserk Slide|Single|Technical|Dragon|50.0|120.0|20.0|Wyvernsoul Def Down|Arkveld
Berserk Slide+|Single|Technical|Dragon|45.0|120.0|20.0|Wyvernsoul Def Down|Arkveld
Egg Skill: Finish Fang|Single|None|Dragon|45.0|120.0|10.0||Egg
Nightmare Cradle|All|None|Dragon|70.0|150.0|30.0|Atk Down|Malzeno
Egg Skill: Dragon Feller|Random|None|Dragon|50.0|360.0|30.0||Egg
Charged Spread Beam|All|None|Fire|50.0|100.0|30.0|Ignores Def, Hits Last, Burn|Black Gravios
Charged Spread Beam+|All|None|Fire|45.0|100.0|30.0|Ignores Def, Hits Last, Burn|Black Gravios
Fireball Frolic|Random|None|Fire|20.0|240.0|50.0|Burn|Aknosom
Burning Blast|All|Power|Fire|30.0|90.0|40.0|Burn|Anjanath
Burning Fang|Single|Power|Fire|30.0|80.0|10.0|Burn, High Crit|Anjanath
Burning Fang+|Single|Power|Fire|30.0|90.0|10.0|Burn, High Crit|Anjanath
Explosive Blast|All|Power|Fire|40.0|90.0|40.0|Blastblight|Dreadking Rathalos
Explosive Breath|Single|Power|Fire|35.0|100.0|10.0|Blastblight|Dreadking Rathalos
Heat Beam|Single|Power|Fire|25.0|90.0|10.0|Ignores Def, Low Accuracy|Black Gravios
Infernal Flames|All|Power|Fire|35.0|90.0|40.0|Noxious Poison, Paralyze|Espinas
Infernal Flames+|All|Power|Fire|35.0|90.0|50.0|Noxious Poison, Paralyze|Espinas
Savage Fireball|Single|Power|Fire|25.0|90.0|20.0|Burn|Rathalos
Savage Fireball+|Single|Power|Fire|25.0|100.0|20.0|Burn|Rathalos
Spreading Beam|All|Power|Fire|30.0|80.0|50.0|Burn, Ignores Def, Low Accuracy|Gravios
Bishaten Embers|Single|Speed|Fire|20.0|70.0|30.0|Burn, Debuff Extension|Bishaten
Egg Skill: Royal Decree|Single|Speed|Fire|60.0|150.0|10.0|Burn|Egg (Rank 7)
Fire Breath|Single|Speed|Fire|20.0|70.0|40.0|Burn|Azure Rathalos
Firebrand|Single|Speed|Fire|55.0|120.0|10.0|High Crit|Hellblade Glavenus
Firebrand+|Single|Speed|Fire|50.0|120.0|10.0|High Crit|Hellblade Glavenus
Flame Chakram|Single|Speed|Fire|15.0|70.0|30.0|Burn|Glavenus
Flame Chakram+|Single|Speed|Fire|15.0|80.0|30.0|Burn|Glavenus
Flame Tempest|All|Speed|Fire|30.0|90.0|40.0|Burn|Azure Rathalos, Dreadqueen Rathian
Flame Tempest+|All|Speed|Fire|30.0|100.0|40.0|Burn|Azure Rathalos
Great Flaming Vortex|Single|Speed|Fire|25.0|80.0|30.0|Burn, Increased Damage to Burnt Foes|Blood Orange Bishaten
Ignition Kick|Single|Speed|Fire|50.0|120.0|10.0|Deonates Blastblight|Dreadking Rathalos
Scorching Blade|All|Speed|Fire|35.0|100.0|30.0|Burn|Glavenus, Hellblade Glavenus
Searing Blade|Single|Speed|Fire|25.0|90.0|20.0|Burn|Hellblade Glavenus
Blazeball|Single|Technical|Fire|15.0|70.0|30.0|Burn|Blue Yian Kut-Ku
Encompassing Flames|All|Technical|Fire|30.0|90.0|50.0|Burn|Rakna Kadaki
Encompassing Flames+|All|Technical|Fire|30.0|100.0|50.0|Burn|Rakna Kadaki
Fireball|Single|Technical|Fire|10.0|60.0|40.0|Burn|Yian Kut-Ku
Flare Blast|All|Technical|Fire|20.0|70.0|40.0|Burn|Rathian
Flare Cluster|All|Technical|Fire|30.0|90.0|40.0|Burn|Pink Rathian
Flare Cluster+|All|Technical|Fire|30.0|90.0|50.0|Burn|Pink Rathian
Lava Cascade|Single|Technical|Fire|15.0|60.0|40.0|Blastblight|Ajarakan
Magma Counter|All|Technical|Fire|30.0|80.0|50.0|Detonates Blastblight|Ajarakan
Magma Counter+|All|Technical|Fire|30.0|80.0|60.0|Detonates Blastblight|Ajarakan
Sweeping Flames|All|Technical|Fire|35.0|100.0|10.0|Blastblight|Ajarakan
Venom Flame|Single|Technical|Fire|15.0|70.0|20.0|Noxious Poison, Paralyze|Espinas
Aqua Jet|Single|None|Water|25.0|90.0|10.0|Ignores Def|Plesioth
Egg Skill: Crash Wave|Random|None|Water|30.0|240.0|50.0||Egg
Hydro Blast|All|None|Water|30.0|80.0|50.0|Ignores Def|Green Plesioth
Torrent Flash|All|None|Water|20.0|70.0|60.0||Shogun Ceanataur
Aqua Dunk|Single|Power|Water|25.0|90.0|20.0||Garangolm
Inundate|Single|Power|Water|20.0|60.0|40.0|Thunder Def Down, Speed Down|Royal Ludroth
Inundate+|Single|Power|Water|20.0|70.0|40.0|Thunder Def Down, Speed Down|Royal Ludroth
Muddy Hell|All|Power|Water|35.0|70.0|50.0|Mudblight|Almudron
Muddy Hell+|All|Power|Water|30.0|70.0|50.0|Mudblight|Almudron
Muddy Torrent|Single|Power|Water|15.0|60.0|40.0|Mudblight|Almudron
Noxious Spit|Single|Power|Water|30.0|90.0|10.0|Noxious Poison|Purple Royal Ludroth
Noxious Spit+|Single|Power|Water|30.0|90.0|20.0|Noxious Poison|Purple Royal Ludroth
Poison Spit|Single|Power|Water|20.0|70.0|30.0|Poison|Purple Royal Ludroth
Steam Beak|All|Power|Water|35.0|100.0|30.0||Garangolm
Steam Beak+|All|Power|Water|35.0|100.0|40.0||Garangolm
Toxic Hazard|Single|Power|Water|15.0|50.0|50.0|Poison|Purple Royal Ludroth
Death Scythe|Single|Speed|Water|15.0|70.0|20.0|Bleed|Shogun Ceanataur
Death Scythe+|Single|Speed|Water|15.0|80.0|20.0|Bleed|Shogun Ceanataur
Egg Skill: Raging Rapid|Single|Speed|Water|40.0|120.0|10.0||Egg
Foxflame Bubbles|Single|Speed|Water|20.0|70.0|20.0|Accuracy Down, Burn|Soulseer Mizutsune
Foxflame Bubbles+|Single|Speed|Water|15.0|70.0|20.0|Accuracy Down, Burn|Soulseer Mizutsune
Mud Splash|Single|Speed|Water|25.0|80.0|50.0|Speed Down|Barroth
Siren's Temptation|Single|Speed|Water|15.0|50.0|40.0|Increased Damage to Sleeping Foes, High Priority|Somnacanth
Aqua Shot|Single|Technical|Water|15.0|70.0|30.0||Royal Ludroth, Tetranodon
Egg Skill: Surface Break|Single|Technical|Water|20.0|70.0|30.0|Wyvernsoul Def Down|Egg
Fleeting Effervescence|All|Technical|Water|50.0|120.0|30.0||Mizutsune
Fleeting Effervescence+|All|Technical|Water|45.0|120.0|30.0||Mizutsune
Hydroshot|Single|Technical|Water|25.0|90.0|20.0||Mizutsune
Nami Torrent|Single|Technical|Water|30.0|90.0|10.0|Thunder Def Down, Speed Down|Namielle
Sleep Powder|All|Technical|Water|25.0|30.0|60.0|Sleep|Somnacanth
Electro Breath|Single|Power|Thunder|15.0|70.0|30.0|Paralyze|Lagiacrus
Plasma Breath|All|Power|Thunder|30.0|90.0|30.0|Paralyze|Ivory Lagiacrus
Thunderbug Blitz|Single|Power|Thunder|30.0|90.0|10.0|Paralyze|Thunderlord Zinogre
Thunderbug Blitz+|Single|Power|Thunder|25.0|90.0|10.0|Paralyze|Thunderlord Zinogre
Plasma Jet|Single|Power|Thunder|25.0|90.0|20.0|Paralyze|Fulgur Anjanath
Thunder Rampage|All|Power|Thunder|35.0|90.0|40.0|Paralyze|Fulgur Anjanath
Thunder Rampage+|All|Power|Thunder|35.0|100.0|40.0|Paralyze|Fulgur Anjanath
Railgun|Single|Power|Thunder|60.0|150.0|10.0||Rey Dau
Railgun+|Single|Power|Thunder|55.0|150.0|10.0||Rey Dau
Egg Skill: Bolt Flash|All|Power|Thunder|50.0|120.0|30.0||Egg
Plasma Pressure|Single|Speed|Thunder|30.0|80.0|10.0|High Crit|Ivory Lagiacrus
Thunderbug Strike|Single|Speed|Thunder|15.0|70.0|30.0|Paralyze|Zinogre
Thunderfist|Single|Speed|Thunder|30.0|100.0|10.0||Zinogre
Thunderfist+|Single|Speed|Thunder|30.0|100.0|20.0||Zinogre
Vengeful Thunder|Single|Speed|Thunder|20.0|70.0|30.0|Lower HP, Higher Damage|Astalos
Thunder Drop|Single|Speed|Thunder|15.0|70.0|30.0|Paralyze|Tobi-Kadachi
Thunderball|All|Speed|Thunder|20.0|70.0|40.0||Tobi-Kadachi
Thunderball+|All|Speed|Thunder|20.0|70.0|50.0||Tobi-Kadachi
Rising Shot|Single|Speed|Thunder|20.0|80.0|30.0|Paralyze|Rey Dau
Thunder Breath|Single|Technical|Thunder|15.0|70.0|30.0|Paralyze|Khezu
Bolt Eater|Single|Technical|Thunder|35.0|90.0|10.0|HP Drain|Khezu
Bolt Eater|Single|Technical|Thunder|35.0|100.0|10.0|HP Drain|Khezu
Thunder Zone|All|Technical|Thunder|20.0|70.0|50.0|Paralyze|Red Khezu
Thunder Fang|Single|Technical|Thunder|25.0|90.0|20.0||Red Khezu
Plasma Cannon|Single|Technical|Thunder|20.0|80.0|30.0|Paralyze|Astalos
Thunder Smash|All|Technical|Thunder|40.0|100.0|30.0|Thunder Def Down|Astalos
Thunder Smash+|All|Technical|Thunder|40.0|100.0|40.0|Thunder Def Down|Astalos
Ray Blade|Single|Technical|Thunder|45.0|120.0|10.0|Paralyze|Boltreaver Astalos
Ray Blade+|Single|Technical|Thunder|40.0|120.0|10.0|Paralyze|Boltreaver Astalos
Egg Skill: Thunderclap|Single|Technical|Thunder|35.0|90.0|20.0|Ignores Def, High Priority|Egg
Thunder Trap|All|None|Thunder|20.0|30.0|60.0|Damages every Turn|Red Khezu
Thunder Trap+|All|None|Thunder|20.0|40.0|60.0|Damages every Turn|Red Khezu
Thundercall|Random|None|Thunder|50.0|360.0|30.0||Thunderlord Zinogre
Thunder Explosion|All|None|Thunder|40.0|100.0|30.0|Increased Damage to Foes with Decreased Stats|Namielle
Thunder Explosion+|All|None|Thunder|35.0|100.0|30.0|Increased Damage to Foes with Decreased Stats|Namielle
Snowball Attack|Single|Power|Ice|20.0|80.0|20.0|Speed Down|Blangonga
Snowball Attack+|Single|Power|Ice|20.0|80.0|30.0|Speed Down|Blangonga
White Breath|Single|Power|Ice|15.0|60.0|40.0|Accuracy Down|Blangonga
Ice Spray|All|Power|Ice|35.0|100.0|30.0|Evasion Down|Jade Barroth
Frozen Flurry|Single|Power|Ice|15.0|50.0|30.0|Damage up on Repeated uses|Goss Harag
Frosty Furrow|Single|Power|Ice|45.0|120.0|10.0||Goss Harag
Frosty Furrow+|Single|Power|Ice|40.0|120.0|10.0||Goss Harag
Egg Skill: Frozen Clump|Single|Power|Ice|20.0|40.0|60.0|Speed Down|Egg
Freezing Wave|Single|Speed|Ice|20.0|70.0|30.0|Speed Down|Legiana
Ice Drill|Single|Speed|Ice|20.0|70.0|30.0|Lower HP, Higher Damage|Legiana
Freezing Burst|All|Speed|Ice|30.0|90.0|40.0||Legiana
Freezing Burst+|All|Speed|Ice|30.0|90.0|50.0||Legiana
Whiteout|Single|Speed|Ice|60.0|150.0|10.0||Velkhana
Inhibiting Breath|Single|Speed|Ice|20.0|80.0|20.0|Speed Down|Lunagaron
Crescent Strike|Single|Speed|Ice|45.0|120.0|10.0||Lunagaron
Crescent Strike+|Single|Speed|Ice|45.0|120.0|20.0||Lunagaron
Egg Skill: Icebind|Single|Speed|Ice|20.0|80.0|20.0|Speed Down|Egg
Snow Spray|Single|Technical|Ice|20.0|70.0|30.0|Speed Down|Barioth
Ice Burst|All|Technical|Ice|30.0|90.0|30.0|Evasion Down|Barioth
Ice Burst|All|Technical|Ice|30.0|90.0|40.0|Evasion Down|Barioth
Diamond Raid|Single|Technical|Ice|45.0|120.0|10.0||Barioth
Chilling Charge|Single|Technical|Ice|20.0|70.0|30.0|Speed Down|Aurora Somnacanth
Chilling Charge+|Single|Technical|Ice|15.0|70.0|30.0|Speed Down|Aurora Somnacanth
Chilling Spin|Single|Technical|Ice|30.0|100.0|10.0||Aurora Somnacanth
Icicle Breath|Single|Technical|Ice|25.0|70.0|30.0|Def Down|Velkhana
Icicle Breath+|Single|Technical|Ice|20.0|70.0|30.0|Def Down|Velkhana
Icicle Storm|Random|None|Ice|30.0|240.0|50.0|Accuracy Down|Velkhana
Venom Strike|Single|Power|Neutral|15.0|70.0|30.0|Poison|Rathalos
Killer Tackle|Single|Power|Neutral|20.0|60.0|20.0|High Crit|Gravios
Vengeful Tackle|Single|Power|Neutral|20.0|70.0|30.0|Lower HP, Higher Damage|Diablos
Vengeful Tackle+|Single|Power|Neutral|20.0|70.0|40.0|Lower HP, Higher Damage|Diablos
Maximum Horn Jab|All|Power|Neutral|25.0|100.0|50.0|Recoil|Diablos
Deadly Horn Jab|All|Power|Neutral|35.0|120.0|30.0|Recoil|Black Diablos
