# generated by .xlsx-source/extract.py from MHS3 Stats → Buffs and Debuffs on 2026-04-19
# schema: name|target|type|element|stamina|effect|source
Blazing Howl|All Allies|None|Fire|20.0|Fire Atk Up, Fire Def Up|Rathian
Egg Skill: Fireform|All Allies|None|Fire|20.0|Atk Up (Stackable)|Egg (Rank 5)
Egg Skill: Flame Star|All Allies|None|Fire|50.0|All other allies Atk Up, User Skips Turn|Egg (Rank 6)
Egg Skill: Heat Shimmer|All Allies|None|Fire|20.0|Dodge Up (Stackable)|Egg (Rank 1, 2, 3)
Egg Skill: Red Mastery|All Allies|None|Fire|20.0|Crit Up (Stackable)|Egg (Rank 4)
Fierce Heat|Self|None|Fire|30.0|Fire Atk Up (Self)|Glavenus
Fiery Aura|Self|None|Fire|20.0|Atk Up, Attacks can Blastblight|Brachydios
Heat Up|Self|None|Fire|20.0|Fire Atk Up|Anjanath
Nourishing Pinecones|Self|None|Fire|0.0|Heals 30 Stamina|Blood Orange Bishaten
Valiant Flare|Self|None|Fire|25.0|Fire Atk Up, Increases Damage Dealt, Self Def Down|Pink Rathian
Mud Armor|Self|None|Water|25.0|Atk Up, Def Up, Self Speed Down|Barroth
Mud Armor+|Self|None|Water|20.0|Atk Up, Def Up, Self Speed Down|Barroth
Bubbly Dance|Self|None|Water|25.0|Water Atk Up, Dodge Up, Regen Up|Mizutsune
Groom|Self|None|Water|30.0|Ailment Rate Up, Water Atk Up|Soulseer Mizutsune
Debilitating Lilt|Self|None|Water|10.0|Ailment Rate Up|Somnacanth
Mud Supply|Self|None|Water|20.0|Water Atk Up|Almudron
Storm Veil|Self|None|Water|30.0|Water Atk Up, Thunder Atk Up, Wyvernfell Up, Def Up|Namielle
Art of Friendship|All Allies|None|Water|20.0|Regen Up|Canyne
Egg Skill: Composure|All Allies|None|Water|20.0|Wyvernfell Up|Egg
Egg Skill: Lunar Cry|All Enemies|None|Water|20.0|Removes Buffs|Egg
Overpower|All Enemies|None|Dragon|15.0|Atk Down|Velocidrome
Pump Up|Self|None|Dragon|35.0|Atk Up, Wyvernfell Up, Self Def Down|Deviljho
