# generated by .xlsx-source/extract.py from passiveskilldata on 2026-04-19
# schema: name|skill_family|level|description
Health Boost (S)|Health Boost|1|#N/A
Health Boost (M)|Health Boost|2|Increases maximum HP.
Health Boost (L)|Health Boost|3|Greatly increases maximum HP.
Health Boost (XL)|Health Boost|4|Significantly increases maximum HP.
Critical (S)|Critical|1|Slightly increases Crit Rate.
Critical (M)|Critical|2|Increases Crit Rate.
Critical (L)|Critical|3|Greatly increases Crit Rate.
Critical (XL)|Critical|4|Significantly increases Crit Rate.
Evasion Ability (S)|Evasion Ability|1|Slightly increases Evasion.
Evasion Ability (M)|Evasion Ability|2|Increases Evasion.
Evasion Ability (L)|Evasion Ability|3|Greatly increases Evasion.
Evasion Ability (XL)|Evasion Ability|4|Significantly increases Evasion.
Inflict Rate Up (S)|Inflict Rate Up|1|Slightly increases abnormal status inflict rate.
Inflict Rate Up (M)|Inflict Rate Up|2|Increases abnormal status inflict rate.
Inflict Rate Up (L)|Inflict Rate Up|3|Greatly increases abnormal status inflict rate.
Inflict Rate Up (XL)|Inflict Rate Up|4|Significantly increases abnormal status inflict rate.
Divine Blessing (S)|Divine Blessing|1|Minuscule chance to halve the amount of damage taken.
Divine Blessing (M)|Divine Blessing|2|Slight chance to halve the amount of damage taken.
Divine Blessing (L)|Divine Blessing|3|Low chance to halve the amount of damage taken.
Divine Blessing (XL)|Divine Blessing|4|Medium chance to halve the amount of damage taken.
Den Protector (S)|Den Protector|1|Slightly increases retreat rate of slain monsters.
Den Protector (M)|Den Protector|2|Increases retreat rate of slain monsters.
Den Protector (L)|Den Protector|3|Greatly increases retreat rate of slain monsters.
Den Protector (XL)|Den Protector|4|Significantly increases retreat rate of slain monsters.
Non-Elem Atk Boost (S)|Non-Elem Atk Boost|1|Slightly increases damage dealt by non-elemental attacks.
Non-Elem Atk Boost (M)|Non-Elem Atk Boost|2|Increases damage dealt by non-elemental attacks.
Non-Elem Atk Boost (L)|Non-Elem Atk Boost|3|Greatly increases damage dealt by non-elemental attacks.
Non-Elem Atk Boost (XL)|Non-Elem Atk Boost|4|Significantly increases damage dealt by non-elemental attacks.
Fire Atk Boost (S)|Fire Atk Boost|1|Slightly increases damage dealt by fire attacks.
Fire Atk Boost (M)|Fire Atk Boost|2|Increases damage dealt by fire attacks.
Fire Atk Boost (L)|Fire Atk Boost|3|Greatly increases damage dealt by fire attacks.
Fire Atk Boost (XL)|Fire Atk Boost|4|Significantly increases damage dealt by fire attacks.
Water Atk Boost (S)|Water Atk Boost|1|Slightly increases damage dealt by water attacks.
Water Atk Boost (M)|Water Atk Boost|2|Increases damage dealt by water attacks.
Water Atk Boost (L)|Water Atk Boost|3|Greatly increases damage dealt by water attacks.
Water Atk Boost (XL)|Water Atk Boost|4|Significantly increases damage dealt by water attacks.
Thunder Atk Boost (S)|Thunder Atk Boost|1|Slightly increases damage dealt by thunder attacks.
Thunder Atk Boost (M)|Thunder Atk Boost|2|Increases damage dealt by thunder attacks.
Thunder Atk Boost (L)|Thunder Atk Boost|3|Greatly increases damage dealt by thunder attacks.
Thunder Atk Boost (XL)|Thunder Atk Boost|4|Significantly increases damage dealt by thunder attacks.
Ice Atk Boost (S)|Ice Atk Boost|1|Slightly increases damage dealt by ice attacks.
Ice Atk Boost (M)|Ice Atk Boost|2|Increases damage dealt by ice attacks.
Ice Atk Boost (L)|Ice Atk Boost|3|Greatly increases damage dealt by ice attacks.
Ice Atk Boost (XL)|Ice Atk Boost|4|Significantly increases damage dealt by ice attacks.
Dragon Atk Boost (S)|Dragon Atk Boost|1|Slightly increases damage dealt by dragon attacks.
Dragon Atk Boost (M)|Dragon Atk Boost|2|Increases damage dealt by dragon attacks.
Dragon Atk Boost (L)|Dragon Atk Boost|3|Greatly increases damage dealt by dragon attacks.
Dragon Atk Boost (XL)|Dragon Atk Boost|4|Significantly increases damage dealt by dragon attacks.
Non-Elem Def Boost (S)|Non-Elem Def Boost|1|Slightly reduces damage taken from non-elemental attacks.
Non-Elem Def Boost (M)|Non-Elem Def Boost|2|Reduces damage taken from non-elemental attacks.
Non-Elem Def Boost (L)|Non-Elem Def Boost|3|Increases non-elemental resistance, reducing damage taken from non-elemental attacks.
Non-Elem Def Boost (XL)|Non-Elem Def Boost|4|Increases non-elemental resistance, greatly reducing damage taken from non-elemental attacks.
Fire Def Boost (S)|Fire Def Boost|1|Slightly reduces damage taken from fire attacks.
Fire Def Boost (M)|Fire Def Boost|2|Reduces damage taken from fire attacks.
Fire Def Boost (L)|Fire Def Boost|3|Increases fire resistance, reducing damage taken from fire attacks.
Fire Def Boost (XL)|Fire Def Boost|4|Increases fire resistance, greatly reducing damage taken from fire attacks.
Water Def Boost (S)|Water Def Boost|1|Slightly reduces damage taken from water attacks.
Water Def Boost (M)|Water Def Boost|2|Reduces damage taken from water attacks.
Water Def Boost (L)|Water Def Boost|3|Increases water resistance, reducing damage taken from water attacks.
Water Def Boost (XL)|Water Def Boost|4|Increases water resistance, greatly reducing damage taken from water attacks.
Thunder Def Boost (S)|Thunder Def Boost|1|Slightly reduces damage taken from thunder attacks.
Thunder Def Boost (M)|Thunder Def Boost|2|Reduces damage taken from thunder attacks.
Thunder Def Boost (L)|Thunder Def Boost|3|Increases thunder resistance, reducing damage taken from thunder attacks.
Thunder Def Boost (XL)|Thunder Def Boost|4|Increases thunder resistance, greatly reducing damage taken from thunder attacks.
Ice Def Boost (S)|Ice Def Boost|1|Slightly reduces damage taken from ice attacks.
Ice Def Boost (M)|Ice Def Boost|2|Reduces damage taken from ice attacks.
Ice Def Boost (L)|Ice Def Boost|3|Increases ice resistance, reducing damage taken from ice attacks.
Ice Def Boost (XL)|Ice Def Boost|4|Increases ice resistance, greatly reducing damage taken from ice attacks.
Dragon Def Boost (S)|Dragon Def Boost|1|Slightly reduces damage taken from dragon attacks.
Dragon Def Boost (M)|Dragon Def Boost|2|Reduces damage taken from dragon attacks.
Dragon Def Boost (L)|Dragon Def Boost|3|Increases dragon resistance, reducing damage taken from dragon attacks.
Dragon Def Boost (XL)|Dragon Def Boost|4|Increases dragon resistance, greatly reducing damage taken from dragon attacks.
All-Elem Def Boost (S)|All-Elem Def Boost|1|Slightly reduces damage taken from all attacks.
All-Elem Def Boost (M)|All-Elem Def Boost|2|Reduces damage taken from all attacks.
All-Elem Def Boost (L)|All-Elem Def Boost|3|Greatly reduces damage taken from all attacks.
All-Elem Def Boost (XL)|All-Elem Def Boost|4|Significantly reduces damage taken from all attacks.
Antivenom (S)|Antivenom|1|Low chance to negate Poison, Noxious Poison, and Severe Poison.
Antivenom (M)|Antivenom|2|Chance to negate Poison, Noxious Poison, and Severe Poison.
Antivenom (L)|Antivenom|3|High chance to negate Poison, Noxious Poison, and Severe Poison.
Antivenom (XL)|Antivenom|4|Negates Poison, Noxious Poison, and Severe Poison.
Antiburn (S)|Antiburn|1|Low chance to negate Burn.
Antiburn (M)|Antiburn|2|Chance to negate Burn.
Antiburn (L)|Antiburn|3|High chance to negate Burn.
Antiburn (XL)|Antiburn|4|Negates Burn.
Antiparalysis (S)|Antiparalysis|1|Low chance to negate Paralysis.
Antiparalysis (M)|Antiparalysis|2|Chance to negate Paralysis.
Antiparalysis (L)|Antiparalysis|3|High chance to negate Paralysis.
Antiparalysis (XL)|Antiparalysis|4|Negates Paralysis.
Insomniac (S)|Insomniac|1|Low chance to negate Sleep.
Insomniac (M)|Insomniac|2|Chance to negate Sleep.
Insomniac (L)|Insomniac|3|High chance to negate Sleep.
Insomniac (XL)|Insomniac|4|Negates Sleep.
Sealbreaker (S)|Sealbreaker|1|Low chance to negate Skillseal.
Sealbreaker (M)|Sealbreaker|2|Chance to negate Skillseal.
Sealbreaker (L)|Sealbreaker|3|High chance to negate Skillseal.
Sealbreaker (XL)|Sealbreaker|4|Negates Skillseal.
Blightproof (S)|Blightproof|1|Low chance to negate Blastblight.
Blightproof (M)|Blightproof|2|Chance to negate Blastblight.
Blightproof (L)|Blightproof|3|High chance to negate Blastblight.
Blightproof (XL)|Blightproof|4|Negates Blastblight.
Antibleed (S)|Antibleed|1|Low chance to negate Bleeding.
Antibleed (M)|Antibleed|2|Chance to negate Bleeding.
Antibleed (L)|Antibleed|3|High chance to negate Bleeding.
Antibleed (XL)|Antibleed|4|Negates Bleeding.
Darkness Resistance (S)|Darkness Resistance|1|Low chance to negate Darkness.
Darkness Resistance (M)|Darkness Resistance|2|Chance to negate Darkness.
Darkness Resistance (L)|Darkness Resistance|3|High chance to negate Darkness.
Darkness Resistance (XL)|Darkness Resistance|4|Negates Darkness.
Panacea (S)|Panacea|1|Minuscule chance to negate all abnormal status effects.
Panacea (M)|Panacea|2|Slight chance to negate all abnormal status effects.
Panacea (L)|Panacea|3|Low chance to negate all abnormal status effects.
Panacea (XL)|Panacea|4|Medium chance to negate all abnormal status effects.
Soul Kinship (S)|Soul Kinship|1|Kinship Gauge fills slightly faster.
Soul Kinship (M)|Soul Kinship|2|Kinship Gauge fills faster.
Soul Kinship (L)|Soul Kinship|3|Kinship Gauge fills much faster.
Soul Kinship (XL)|Soul Kinship|4|Kinship Gauge fills significantly faster.
HtH Master (S)|HtH Master|1|Winning a Head-to-Head makes the Kinship Gauge fill slightly faster.
HtH Master (M)|HtH Master|2|Winning a Head-to-Head makes the Kinship Gauge fill faster.
HtH Master (L)|HtH Master|3|Winning a Head-to-Head makes the Kinship Gauge fill much faster.
HtH Master (XL)|HtH Master|4|Winning a Head-to-Head makes the Kinship Gauge fill significantly faster.
Kinship Skill+ (S)|Kinship Skill+|1|Slightly increases Kinship Skill damage.
Kinship Skill+ (M)|Kinship Skill+|2|Increases Kinship Skill damage.
Kinship Skill+ (L)|Kinship Skill+|3|Greatly increases Kinship Skill damage.
Kinship Skill+ (XL)|Kinship Skill+|4|Significantly increases Kinship Skill damage.
Salt in Wound (S)|Salt in Wound|1|Slightly increases damage dealt to enemies with abnormal statuses.
Salt in Wound (M)|Salt in Wound|2|Increases damage dealt to enemies with abnormal statuses.
Salt in Wound (L)|Salt in Wound|3|Greatly increases damage dealt to enemies with abnormal statuses.
Salt in Wound (XL)|Salt in Wound|4|Significantly increases damage dealt to enemies with abnormal statuses.
All-Out (S)|All-Out|1|Slightly increases damage dealt by skills in exchange for a higher Stamina cost.
All-Out (M)|All-Out|2|Increases damage dealt by skills in exchange for a higher Stamina cost.
All-Out (L)|All-Out|3|Greatly increases damage dealt by skills in exchange for a higher Stamina cost.
All-Out (XL)|All-Out|4|Significantly increases damage dealt by skills in exchange for a higher Stamina cost.
Vicious (S)|Vicious|1|Slightly increases Head-to-Head damage.
Vicious (M)|Vicious|2|Increases Head-to-Head damage.
Vicious (L)|Vicious|3|Greatly increases Head-to-Head damage.
Vicious (XL)|Vicious|4|Significantly increases Head-to-Head damage.
Synchronize (S)|Synchronize|1|Slightly increases Double Attack damage.
Synchronize (M)|Synchronize|2|Increases Double Attack damage.
Synchronize (L)|Synchronize|3|Greatly increases Double Attack damage.
Synchronize (XL)|Synchronize|4|Significantly increases Double Attack damage.
Heroics (S)|Heroics|1|Slightly increases damage dealt at 50% HP or less.
Heroics (M)|Heroics|2|Increases damage dealt at 50% HP or less.
Heroics (L)|Heroics|3|Greatly increases damage dealt at 50% HP or less.
Heroics (XL)|Heroics|4|Significantly increases damage dealt at 50% HP or less.
Potential (S)|Potential|1|Slightly reduces damage taken at 50% HP or less.
Potential (M)|Potential|2|Reduces damage taken at 50% HP or less.
Potential (L)|Potential|3|Greatly reduces damage taken at 50% HP or less.
Potential (XL)|Potential|4|Significantly reduces damage taken at 50% HP or less.
Evasion Instinct (S)|Evasion Instinct|1|Slightly increases Evasion at 50% HP or less.
Evasion Instinct (M)|Evasion Instinct|2|Increases Evasion at 50% HP or less.
Evasion Instinct (L)|Evasion Instinct|3|Greatly increases Evasion at 50% HP or less.
Evasion Instinct (XL)|Evasion Instinct|4|Significantly increases Evasion at 50% HP or less.
Vigilance (S)|Vigilance|1|Slightly increases Crit Rate at 50% HP or less.
Vigilance (M)|Vigilance|2|Increases Crit Rate at 50% HP or less.
Vigilance (L)|Vigilance|3|Greatly increases Crit Rate at 50% HP or less.
Vigilance (XL)|Vigilance|4|Significantly increases Crit Rate at 50% HP or less.
Partner (S)|Partner|1|Kinship Gauge fills slightly faster at 50% HP or less.
Partner (M)|Partner|2|Kinship Gauge fills faster at 50% HP or less.
Partner (L)|Partner|3|Kinship Gauge fills much faster at 50% HP or less.
Partner (XL)|Partner|4|Kinship Gauge fills significantly faster at 50% HP or less.
Slugger (S)|Slugger|1|Normal attacks have an extremely low chance to inflict Stun.
