# generated by .xlsx-source/extract.py from weaponparam (bow) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Arko Nulo Black|Bow_036 (Arko Nulo Black)|0|52|1|MATERIAL_TYPE_186 (Thunderbug) x4|MATERIAL_TYPE_187 (Bnahabra) x8|
Arko Nulo Black|Bow_036 (Arko Nulo Black)|1|72|2|MATERIAL_TYPE_187 (Bnahabra) x8|MATERIAL_TYPE_202 (High-Grade Bug) x10|
Arko Nulo Black|Bow_036 (Arko Nulo Black)|2|116|3|MATERIAL_TYPE_187 (Bnahabra) x12|MATERIAL_TYPE_189 (Dracophage) x10|MATERIAL_TYPE_204 (Weapon Sphere) x5
Arko Nulo Red|Bow_034 (Arko Nulo Red)|0|20|1|MATERIAL_TYPE_187 (Bnahabra) x4|MATERIAL_TYPE_201 (Low-Grade Bug) x8|
Arko Nulo Red|Bow_034 (Arko Nulo Red)|1|60|2|MATERIAL_TYPE_187 (Bnahabra) x8|MATERIAL_TYPE_186 (Thunderbug) x8|
Arko Nulo Red|Bow_034 (Arko Nulo Red)|2|118|3|MATERIAL_TYPE_187 (Bnahabra) x12|MATERIAL_TYPE_189 (Dracophage) x10|MATERIAL_TYPE_204 (Weapon Sphere) x5
Arko Nulo White|Bow_035 (Arko Nulo White)|0|20|1|MATERIAL_TYPE_187 (Bnahabra) x4|MATERIAL_TYPE_201 (Low-Grade Bug) x8|
Arko Nulo White|Bow_035 (Arko Nulo White)|1|46|2|MATERIAL_TYPE_187 (Bnahabra) x8|MATERIAL_TYPE_186 (Thunderbug) x8|
Arko Nulo White|Bow_035 (Arko Nulo White)|2|102|3|MATERIAL_TYPE_187 (Bnahabra) x12|MATERIAL_TYPE_191 (Rachnoid) x10|MATERIAL_TYPE_204 (Weapon Sphere) x3
Arko Nulo Yellow|Bow_033 (Arko Nulo Yellow)|0|20|1|MATERIAL_TYPE_187 (Bnahabra) x4|MATERIAL_TYPE_201 (Low-Grade Bug) x8|
Arko Nulo Yellow|Bow_033 (Arko Nulo Yellow)|1|40|2|MATERIAL_TYPE_187 (Bnahabra) x8|MATERIAL_TYPE_186 (Thunderbug) x8|
Arko Nulo Yellow|Bow_033 (Arko Nulo Yellow)|2|68|3|MATERIAL_TYPE_187 (Bnahabra) x12|MATERIAL_TYPE_202 (High-Grade Bug) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Arzuros Bow|Bow_015 (Arzuros Bow)|0|42|0|MATERIAL_TYPE_138 (Arzuros) x10||
Arzuros Bow|Bow_015 (Arzuros Bow)|1|64|0|MATERIAL_TYPE_138 (Arzuros) x15|MATERIAL_TYPE_129 (Barroth) x6|
Arzuros Bow|Bow_015 (Arzuros Bow)|2|104|1|MATERIAL_TYPE_138 (Arzuros) x25|MATERIAL_TYPE_130 (J.Barroth) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Ashen Wrath|Bow_029 (Ashen Wrath)|0|116|0|MATERIAL_TYPE_143 (Glavenus) x6||
