# generated by .xlsx-source/extract.py from weapondata (bow) + weaponparam base/max on 2026-04-19
# schema: name|element|skill|wyvernfell|defense|affinity|status|status_rate|melodies|partner_melodies|base_attack|max_attack|max_level|rarity
Diablos Coilbender||BW_013_00 (Exhaust Coating_NONE)|35|15|0||0|INVALID INVALID|INVALID INVALID|98|160|3|1
Glacial Arrow||BW_000_02 (Dragon Piercer_SHARPNESS_2)|15|0|0||0|INVALID INVALID|INVALID INVALID|126|164|3|1
Kadachi Strikebow||BW_004_03 (Rapid Shot_SHARP_1)|15|0|15||0|INVALID INVALID|INVALID INVALID|30|92|3|1
Insurgent's Bow||BW_018_00 (Defense Down Coating_NONE)|35|0|0||0|INVALID INVALID|INVALID INVALID|142|164|3|1
Hidden Bow||BW_000_01 (Dragon Piercer_SHARP_2)|15|0|25||0|INVALID INVALID|INVALID INVALID|64|126|3|1
Hydra Planula||PS_070_00 (Deft Hands (S))|15|0|15||0|INVALID INVALID|INVALID INVALID|40|164|3|1
Iron Bow||BW_006_00 (Piercing Shot_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|20|72|3|1
Flammenbogen||BW_001_01 (Aerial Aim_BREAK_2)|35|0|0||0|INVALID INVALID|INVALID INVALID|52|136|3|1
Dawn Ray Bow||BW_015_00 (Flash Coating_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|46|126|3|1
Sinister Bow||BW_010_00 (Blast Coating_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|142|160|3|1
Mud Shot||BW_009_00 (Sleep Coating_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|72|150|3|1
Weaver of Flame||BW_006_02 (Piercing Shot_SHARP_1)|15|0|15||0|INVALID INVALID|INVALID INVALID|70|134|3|1
Thunderbolt Bow||PS_069_00 (Bow Mastery (S))|15|0|0||0|INVALID INVALID|INVALID INVALID|80|178|3|1
Crystalline Flower||PS_068_00 (Battle Ready (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|72|150|3|1
Felyne Bow||PS_068_00 (Battle Ready (S))|35|5|0||0|INVALID INVALID|INVALID INVALID|34|132|3|1
Arzuros Bow||BW_005_02 (Spread Shot_BREAK_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|42|104|3|1
Spongia Bow||PS_069_00 (Bow Mastery (S))|35|0|0||0|INVALID INVALID|INVALID INVALID|32|132|3|1
Dark Filament||PS_069_00 (Bow Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|132|160|3|1
Usurper's Rumble||BW_002_00 (Stake Thrust_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|120|160|3|1
Tigrex Archer||BW_001_02 (Aerial Aim_HEAVY_2)|35|0|0||0|INVALID INVALID|INVALID INVALID|105|154|3|1
Blue Blade Bow||BW_014_00 (Bleed Coating_NONE)|15|0|0||0|INVALID INVALID|INVALID INVALID|74|148|3|1
Lightning Bow||PS_069_00 (Bow Mastery (S))|15|0|20||0|INVALID INVALID|INVALID INVALID|102|138|3|1
Duke's Bloodwings||BW_017_00 (Attack Down Coating_NONE)|15|0|0||0|INVALID INVALID|INVALID INVALID|138|174|3|1
Golm Bone Bow||PS_070_00 (Deft Hands (S))|35|10|0||0|INVALID INVALID|INVALID INVALID|84|148|3|1
Iceflinger||BW_016_00 (Power Coating_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|142|174|3|1
Seahorse Harp||PS_070_00 (Deft Hands (S))|15|5|0||0|INVALID INVALID|INVALID INVALID|38|102|3|1
Crow Bow||BW_003_01 (Quick Shot_STRONG_2)|15|10|10||0|INVALID INVALID|INVALID INVALID|76|138|3|1
Kut-Ku Stave||BW_005_03 (Spread Shot_SHARP_1)|25|0|0||0|INVALID INVALID|INVALID INVALID|30|98|3|1
Type 64 Multibow||BW_004_02 (Rapid Shot_BREAK_1)|35|20|0||0|INVALID INVALID|INVALID INVALID|62|134|3|1
Ashen Wrath||PS_070_00 (Deft Hands (S))|15|0|0||0|INVALID INVALID|INVALID INVALID|116|164|3|1
Dragon Bow Solar||PS_068_00 (Battle Ready (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|110|170|3|1
Veldian Arcum||BW_005_01 (Spread Shot_STRONG_1)|25|0|0||0|INVALID INVALID|INVALID INVALID|140|170|3|1
Rey Perkonis||PS_068_00 (Battle Ready (S))|15|0|0||0|INVALID INVALID|INVALID INVALID|116|165|3|1
Arko Nulo Yellow||BW_000_00 (Dragon Piercer_NONE)|15|0|10||0|INVALID INVALID|INVALID INVALID|20|68|3|1
Arko Nulo Red||BW_008_00 (Paralysis Coating_NONE)|15|0|10||0|INVALID INVALID|INVALID INVALID|20|118|3|1
Arko Nulo White||BW_019_00 (Accuracy Down Coating_NONE)|15|0|10||0|INVALID INVALID|INVALID INVALID|20|102|3|1
Arko Nulo Black||BW_020_00 (Evasion Down Coating_NONE)|15|0|10||0|INVALID INVALID|INVALID INVALID|52|116|3|1
