# generated by .xlsx-source/extract.py from decorationdata_V_10_00 (WEAPON rows) on 2026-04-19
# schema: id|skill|skill_variation|passive_skill|passive_level|passive_skill_name|type
PS_059_03 (Counter Boost (XL))||NONE|Counter Boost|4|Counter Boost (XL)|LONG_SWORD
PS_060_03 (Iai Mastery (XL))||NONE|Iai Mastery|4|Iai Mastery (XL)|LONG_SWORD
PS_061_03 (Long Sword Mastery (XL))||NONE|Long Sword Mastery|4|Long Sword Mastery (XL)|LONG_SWORD
PS_062_03 (Great Sword Mastery (XL))||NONE|Great Sword Mastery|4|Great Sword Mastery (XL)|GREAT_SWORD
PS_063_03 (Charge Burst (XL))||NONE|Charge Burst|4|Charge Burst (XL)|GREAT_SWORD
PS_064_03 (Audacious Rage (XL))||NONE|Audacious Rage|4|Audacious Rage (XL)|GREAT_SWORD
PS_065_03 (Guard Chance (XL))||NONE|Guard Chance|4|Guard Chance (XL)|GUN_LANCE
PS_066_03 (Audacious Wyvern (XL))||NONE|Audacious Wyvern|4|Audacious Wyvern (XL)|GUN_LANCE
PS_067_03 (Gunlance Mastery (XL))||NONE|Gunlance Mastery|4|Gunlance Mastery (XL)|GUN_LANCE
PS_068_03 (Battle Ready (XL))||NONE|Battle Ready|4|Battle Ready (XL)|BOW
PS_069_03 (Bow Mastery (XL))||NONE|Bow Mastery|4|Bow Mastery (XL)|BOW
PS_070_03 (Deft Hands (XL))||NONE|Deft Hands|4|Deft Hands (XL)|BOW
PS_071_03 (Hammer Mastery (XL))||NONE|Hammer Mastery|4|Hammer Mastery (XL)|HAMMER
PS_072_03 (Striking Secret (XL))||NONE|Striking Secret|4|Striking Secret (XL)|HAMMER
PS_073_03 (Soulbreak (XL))||NONE|Soulbreak|4|Soulbreak (XL)|HAMMER
PS_074_03 (Hunting Horn Mastery (XL))||NONE|Hunting Horn Mastery|4|Hunting Horn Mastery (XL)|HORN
PS_075_03 (Mending Musician (XL))||NONE|Mending Musician|4|Mending Musician (XL)|HORN
PS_076_03 (Polychrome Performer (XL))||NONE|Polychrome Performer|4|Polychrome Performer (XL)|HORN
