# generated by .xlsx-source/extract.py from weaponparam (great-sword) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Aknosom Blade|GreatSword_006 (Aknosom Blade)|0|56|1|MATERIAL_TYPE_149 (Aknosom) x10||
Aknosom Blade|GreatSword_006 (Aknosom Blade)|1|72|1|MATERIAL_TYPE_149 (Aknosom) x15|MATERIAL_TYPE_159 (Anjanath) x6|
Aknosom Blade|GreatSword_006 (Aknosom Blade)|2|124|2|MATERIAL_TYPE_149 (Aknosom) x25|MATERIAL_TYPE_142 (Seregios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Azure Elder Great Sword|GreatSword_010 (Azure Elder Great Sword)|0|80|0|MATERIAL_TYPE_155 (Ibushi) x3||
Azure Elder Great Sword|GreatSword_010 (Azure Elder Great Sword)|1|164|0|MATERIAL_TYPE_155 (Ibushi) x5|MATERIAL_TYPE_177 (Arkveld) x6|
Azure Elder Great Sword|GreatSword_010 (Azure Elder Great Sword)|2|178|1|MATERIAL_TYPE_155 (Ibushi) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Azure Serpentblade|GreatSword_024 (Azure Serpentblade)|0|26|0|MATERIAL_TYPE_181 (Velociprey) x10|MATERIAL_TYPE_195 (Monster Bone) x8|
Azure Serpentblade|GreatSword_024 (Azure Serpentblade)|1|56|0|MATERIAL_TYPE_117 (Velocidrome) x15|MATERIAL_TYPE_157 (G.Izuchi) x6|
Azure Serpentblade|GreatSword_024 (Azure Serpentblade)|2|98|1|MATERIAL_TYPE_117 (Velocidrome) x25|MATERIAL_TYPE_166 (Odogaron) x12|MATERIAL_TYPE_204 (Weapon Sphere) x3
Berserker Sword|GreatSword_001 (Berserker Sword)|0|142|0|MATERIAL_TYPE_128 (Deviljho) x6||
Berserker Sword|GreatSword_001 (Berserker Sword)|1|154|0|MATERIAL_TYPE_128 (Deviljho) x10|MATERIAL_TYPE_241 (Invasive Material) x3|
Berserker Sword|GreatSword_001 (Berserker Sword)|2|164|1|MATERIAL_TYPE_128 (Deviljho) x18|MATERIAL_TYPE_193 (Wyvern Stone) x3|MATERIAL_TYPE_204 (Weapon Sphere) x8
