# generated by .xlsx-source/extract.py from weapondata (great-sword) + weaponparam base/max on 2026-04-19
# schema: name|element|skill|wyvernfell|defense|affinity|status|status_rate|melodies|partner_melodies|base_attack|max_attack|max_level|rarity
Rathalos Firesword||PS_062_00 (Great Sword Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|132|160|3|1
Berserker Sword||PS_064_00 (Audacious Rage (S))|35|0|0||0|INVALID INVALID|INVALID INVALID|142|164|3|1
Tiger Jawblade||PS_064_00 (Audacious Rage (S))|35|0|0||0|INVALID INVALID|INVALID INVALID|105|154|3|1
Chrome Razor||GS_002_03 (Charged Slash_STRONG_1)|15|0|10||8|INVALID INVALID|INVALID INVALID|100|145|3|1
Scorching Blazer||GS_006_02 (Wide Slash_SHARPNESS_1)|15|0|0||0|INVALID INVALID|INVALID INVALID|116|164|3|1
Izuchi Blade||GS_006_01 (Wide Slash_SHARP_1)|15|0|15||0|INVALID INVALID|INVALID INVALID|36|102|3|1
Aknosom Blade||GS_007_00 (True Wide Slash_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|56|124|3|1
Tetranadon Edge||GS_002_01 (Charged Slash_BREAK_1)|35|10|0||0|INVALID INVALID|INVALID INVALID|42|136|3|1
Sinister Blade||PS_064_00 (Audacious Rage (S))|25|0|0||10|INVALID INVALID|INVALID INVALID|142|160|3|1
Gossblade||GS_004_01 (Rage Slash_BREAK_2)|35|0|0||0|INVALID INVALID|INVALID INVALID|120|154|3|1
Azure Elder Great Sword||PS_062_00 (Great Sword Mastery (S))|15|0|0||0|INVALID INVALID|INVALID INVALID|80|178|3|1
Iron Sword||GS_001_00 (Charge Tackle_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|20|72|3|1
Frozen Speartuna||PS_064_00 (Audacious Rage (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|36|72|3|1
Cat's Soul||GS_007_02 (True Wide Slash_SHARPNESS_2)|15|0|0||8|INVALID INVALID|INVALID INVALID|40|142|3|1
Carapace Sword||GS_006_03 (Wide Slash_HEAVY_1)|35|15|0||0|INVALID INVALID|INVALID INVALID|64|134|3|1
Khezu Shock Sword||GS_004_00 (Rage Slash_NONE)|35|0|0||0|INVALID INVALID|INVALID INVALID|50|134|3|1
Valkyrie Blade||PS_062_00 (Great Sword Mastery (S))|25|0|0||8|INVALID INVALID|INVALID INVALID|32|128|3|1
Hanayako Yohino||GS_003_03 (Strong Charged Slash_SHARP_2)|15|0|10||0|INVALID INVALID|INVALID INVALID|76|150|3|1
Ceanataur Blade||GS_002_02 (Charged Slash_SHARPNESS_1)|15|0|0||0|INVALID INVALID|INVALID INVALID|74|148|3|1
Cheda Blade||GS_007_01 (True Wide Slash_SHARP_2)|15|0|10||0|INVALID INVALID|INVALID INVALID|120|140|3|1
Sword of Winter Moon||PS_063_00 (Charge Burst (S))|15|0|0||0|INVALID INVALID|INVALID INVALID|128|164|3|1
Golm Blade||PS_063_00 (Charge Burst (S))|35|10|0||0|INVALID INVALID|INVALID INVALID|84|148|3|1
Rosenbrett||GS_004_02 (Rage Slash_SHARPNESS_2)|15|0|10||8|INVALID INVALID|INVALID INVALID|76|148|3|1
Epitaph Blade||PS_062_00 (Great Sword Mastery (S))|35|0|0||0|INVALID INVALID|INVALID INVALID|50|136|3|1
Azure Serpentblade||GS_000_00 (Charge_NONE)|35|0|0||0|INVALID INVALID|INVALID INVALID|26|98|3|1
Scylla Blade||GS_005_03 (Slash_HEAVY_1)|25|0|0||8|INVALID INVALID|INVALID INVALID|36|135|3|1
Lagiacrus Blade||GS_005_02 (Slash_SHARPNESS_1)|25|0|0||0|INVALID INVALID|INVALID INVALID|52|160|3|1
Veldian Gladius||PS_063_00 (Charge Burst (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|140|170|3|1
Flammenzahn||GS_003_01 (Strong Charged Slash_BREAK_2)|35|0|0||0|INVALID INVALID|INVALID INVALID|52|136|3|1
Donnerzahn||GS_005_01 (Slash_SHARP_1)|15|0|15||0|INVALID INVALID|INVALID INVALID|110|140|3|1
Chicken Decapitator||PS_063_00 (Charge Burst (S))|15|0|0||0|INVALID INVALID|INVALID INVALID|30|88|3|1
Sentoryu Raven||GS_003_02 (Strong Charged Slash_SHARPNESS_2)|15|0|10||8|INVALID INVALID|INVALID INVALID|76|138|3|1
