# generated by .xlsx-source/extract.py from weaponparam (gunlance) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Ajara Gunpike|GunLance_031 (Ajara Gunpike)|0|74|0|MATERIAL_TYPE_175 (Ajarakan) x6||
Ajara Gunpike|GunLance_031 (Ajara Gunpike)|1|116|0|MATERIAL_TYPE_175 (Ajarakan) x12|MATERIAL_TYPE_165 (Legiana) x6|
Ajara Gunpike|GunLance_031 (Ajara Gunpike)|2|148|1|MATERIAL_TYPE_175 (Ajarakan) x20|MATERIAL_TYPE_104 (A.Rathalos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Aknosom Gunlance|GunLance_008 (Aknosom Gunlance)|0|56|1|MATERIAL_TYPE_149 (Aknosom) x10||
Aknosom Gunlance|GunLance_008 (Aknosom Gunlance)|1|72|1|MATERIAL_TYPE_149 (Aknosom) x15|MATERIAL_TYPE_135 (Nibelsnarf) x6|
Aknosom Gunlance|GunLance_008 (Aknosom Gunlance)|2|124|2|MATERIAL_TYPE_149 (Aknosom) x25|MATERIAL_TYPE_142 (Seregios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Almudron Gunlance|GunLance_010 (Almudron Gunlance)|0|72|1|MATERIAL_TYPE_154 (Almudron) x6||
Almudron Gunlance|GunLance_010 (Almudron Gunlance)|1|124|2|MATERIAL_TYPE_154 (Almudron) x12|MATERIAL_TYPE_165 (Legiana) x6|
Almudron Gunlance|GunLance_010 (Almudron Gunlance)|2|150|2|MATERIAL_TYPE_154 (Almudron) x20|MATERIAL_TYPE_123 (B.Tigrex) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Barroth Loader|GunLance_015 (Barroth Loader)|0|64|0|MATERIAL_TYPE_129 (Barroth) x10||
Barroth Loader|GunLance_015 (Barroth Loader)|1|105|0|MATERIAL_TYPE_129 (Barroth) x15|MATERIAL_TYPE_120 (Blangonga) x6|
Barroth Loader|GunLance_015 (Barroth Loader)|2|134|1|MATERIAL_TYPE_129 (Barroth) x25|MATERIAL_TYPE_167 (E.Odogaron) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Cornpopper|GunLance_011 (Cornpopper)|0|98|3|MATERIAL_TYPE_234 (Cornpopper) x1|MATERIAL_TYPE_198 (High-Grade Ore) x8|
Cornpopper|GunLance_011 (Cornpopper)|1|127|3|MATERIAL_TYPE_103 (Rathalos) x4|MATERIAL_TYPE_189 (Dracophage) x8|
Cornpopper|GunLance_011 (Cornpopper)|2|148|3|MATERIAL_TYPE_103 (Rathalos) x8|MATERIAL_TYPE_104 (A.Rathalos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Dios Gunlance|GunLance_007 (Dios Gunlance)|0|80|0|MATERIAL_TYPE_139 (Brachydios) x6||
Dios Gunlance|GunLance_007 (Dios Gunlance)|1|120|1|MATERIAL_TYPE_139 (Brachydios) x10|MATERIAL_TYPE_122 (Tigrex) x6|
Dios Gunlance|GunLance_007 (Dios Gunlance)|2|140|1|MATERIAL_TYPE_139 (Brachydios) x18|MATERIAL_TYPE_108 (B.Gravios) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Fiore Nulo Black|GunLance_032 (Fiore Nulo Black)|0|56|1|MATERIAL_TYPE_186 (Thunderbug) x4|MATERIAL_TYPE_187 (Bnahabra) x8|
Fiore Nulo Black|GunLance_032 (Fiore Nulo Black)|1|80|2|MATERIAL_TYPE_187 (Bnahabra) x8|MATERIAL_TYPE_202 (High-Grade Bug) x10|
Fiore Nulo Black|GunLance_032 (Fiore Nulo Black)|2|150|3|MATERIAL_TYPE_187 (Bnahabra) x12|MATERIAL_TYPE_144 (Astalos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
