# generated by .xlsx-source/extract.py from weapondata (gunlance) + weaponparam base/max on 2026-04-19
# schema: name|element|skill|wyvernfell|defense|affinity|status|status_rate|melodies|partner_melodies|base_attack|max_attack|max_level|rarity
Princess Panoply||GL_008_00 (Burst Fire_NONE)|25|0|0||8|INVALID INVALID|INVALID INVALID|32|128|3|1
Kadachi Striker||GL_006_01 (Shelling_SHARP_1)|15|0|15||0|INVALID INVALID|INVALID INVALID|30|128|3|1
Ravenous Gunlance||PS_066_00 (Audacious Wyvern (S))|35|0|0||0|INVALID INVALID|INVALID INVALID|142|164|3|1
Twinfang||GL_008_01 (Burst Fire_SHARP_2)|15|0|15||0|INVALID INVALID|INVALID INVALID|120|150|3|1
Tiger Blast||PS_066_00 (Audacious Wyvern (S))|35|0|0||0|INVALID INVALID|INVALID INVALID|105|154|3|1
Hydra Ephyra||PS_065_00 (Guard Chance (S))|15|0|15||0|INVALID INVALID|INVALID INVALID|40|164|3|1
Iron Gunlance||GL_009_00 (Wyvern's Fire_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|20|72|3|1
Dios Gunlance||GL_008_02 (Burst Fire_HEAVY_2)|35|0|0||8|INVALID INVALID|INVALID INVALID|80|140|3|1
Aknosom Gunlance||GL_007_03 (Charged Shelling_SHARPNESS_1)|25|0|0||0|INVALID INVALID|INVALID INVALID|56|124|3|1
Sinister Gunlance||GL_005_00 (Single Combat_NONE)|25|0|0||10|INVALID INVALID|INVALID INVALID|142|160|3|1
Almudron Gunlance||GL_009_03 (Wyvern's Fire_STRONG_2)|25|0|0||0|INVALID INVALID|INVALID INVALID|72|150|3|1
Cornpopper||PS_067_00 (Gunlance Mastery (S))|35|10|0||0|INVALID INVALID|INVALID INVALID|98|148|3|1
Fiore Nulo Green||GL_009_01 (Wyvern's Fire_CHEAP_2)|25|0|0||12|INVALID INVALID|INVALID INVALID|42|136|3|1
Fiore Nulo Red||GL_010_01 (Wyvern's Blaze_CHEAP_2)|25|0|0||0|INVALID INVALID|INVALID INVALID|24|110|3|1
Fiore Nulo Black||PS_066_00 (Audacious Wyvern (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|56|150|3|1
Ludroth Harpoon||GL_006_02 (Shelling_HEAVY_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|32|132|3|1
Barroth Loader||GL_009_02 (Wyvern's Fire_HEAVY_2)|35|15|0||0|INVALID INVALID|INVALID INVALID|64|134|3|1
Pukei Gunlance||PS_066_00 (Audacious Wyvern (S))|25|0|0||12|INVALID INVALID|INVALID INVALID|42|108|3|1
Usurper's Roar||PS_067_00 (Gunlance Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|120|160|3|1
Frostmoon Gunlance||PS_065_00 (Guard Chance (S))|15|0|0||0|INVALID INVALID|INVALID INVALID|128|164|3|1
Rosenkanone||GL_003_00 (Derring Guard_NONE)|15|0|10||8|INVALID INVALID|INVALID INVALID|76|148|3|1
Kamak Gunlance||GL_011_01 (Hail Cutter_CHEAP_1)|35|20|0||0|INVALID INVALID|INVALID INVALID|62|132|3|1
Marine Fisher||GL_010_03 (Wyvern's Blaze_STRONG_2)|25|0|0||0|INVALID INVALID|INVALID INVALID|48|160|3|1
White Gunlance||GL_010_02 (Wyvern's Blaze_HEAVY_2)|35|20|0||8|INVALID INVALID|INVALID INVALID|96|156|3|1
Hard Hitter||PS_067_00 (Gunlance Mastery (S))|35|0|0||12|INVALID INVALID|INVALID INVALID|24|102|3|1
Hellsting||GL_007_02 (Charged Shelling_HEAVY_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|42|150|3|1
Shell Gunbird||PS_065_00 (Guard Chance (S))|25|0|0||8|INVALID INVALID|INVALID INVALID|36|135|3|1
Type 62 Stormlance||PS_065_00 (Guard Chance (S))|35|20|0||0|INVALID INVALID|INVALID INVALID|62|134|3|1
Gold Dragonwood Gunlance||PS_067_00 (Gunlance Mastery (S))|25|0|0||8|INVALID INVALID|INVALID INVALID|110|170|3|1
Red Generator||GL_000_00 (Guard Reload_NONE)|35|0|0||0|INVALID INVALID|INVALID INVALID|68|148|3|1
Lagia Burst||GL_001_00 (Quick Reload_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|52|150|3|1
Veldian Hasta||GL_002_00 (Tactical Reload_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|140|170|3|1
Ajara Gunpike||GL_011_02 (Hail Cutter_SHARP_1)|15|0|10||8|INVALID INVALID|INVALID INVALID|74|148|3|1
