# generated by .xlsx-source/extract.py from weaponparam (hammer) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Almudron Hammer|Hammer_009 (Almudron Hammer)|0|72|1|MATERIAL_TYPE_154 (Almudron) x6||
Almudron Hammer|Hammer_009 (Almudron Hammer)|1|124|2|MATERIAL_TYPE_154 (Almudron) x12|MATERIAL_TYPE_171 (Lunagaron) x6|
Almudron Hammer|Hammer_009 (Almudron Hammer)|2|150|2|MATERIAL_TYPE_154 (Almudron) x20|MATERIAL_TYPE_123 (B.Tigrex) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Azure Elder Hammer|Hammer_010 (Azure Elder Hammer)|0|80|0|MATERIAL_TYPE_155 (Ibushi) x3||
Azure Elder Hammer|Hammer_010 (Azure Elder Hammer)|1|164|0|MATERIAL_TYPE_155 (Ibushi) x5|MATERIAL_TYPE_177 (Arkveld) x6|
Azure Elder Hammer|Hammer_010 (Azure Elder Hammer)|2|178|1|MATERIAL_TYPE_155 (Ibushi) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Bag o' Horrors|Hammer_036 (Bag o' Horrors)|0|50|1|MATERIAL_TYPE_105 (Khezu) x10||
Bag o' Horrors|Hammer_036 (Bag o' Horrors)|1|72|2|MATERIAL_TYPE_105 (Khezu) x15|MATERIAL_TYPE_135 (Nibelsnarf) x6|
Bag o' Horrors|Hammer_036 (Bag o' Horrors)|2|118|2|MATERIAL_TYPE_105 (Khezu) x25|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Bleeding Bopper|Hammer_032 (Bleeding Bopper)|0|68|1|MATERIAL_TYPE_106 (R.Khezu) x6||
Bleeding Bopper|Hammer_032 (Bleeding Bopper)|1|100|2|MATERIAL_TYPE_106 (R.Khezu) x12|MATERIAL_TYPE_172 (Garangolm) x6|
Bleeding Bopper|Hammer_032 (Bleeding Bopper)|2|152|2|MATERIAL_TYPE_106 (R.Khezu) x20|MATERIAL_TYPE_136 (Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Bone Hammer|Hammer_012 (Bone Hammer)|0|20|0|MATERIAL_TYPE_227 (Bone Hammer) x1|MATERIAL_TYPE_195 (Monster Bone) x8|
Bone Hammer|Hammer_012 (Bone Hammer)|1|34|1|MATERIAL_TYPE_196 (Brute Bone) x8|MATERIAL_TYPE_195 (Monster Bone) x10|
Bone Hammer|Hammer_012 (Bone Hammer)|2|72|2|MATERIAL_TYPE_196 (Brute Bone) x12|MATERIAL_TYPE_183 (Cephalos) x10|MATERIAL_TYPE_204 (Weapon Sphere) x3
Calamitous Portent|Hammer_015 (Calamitous Portent)|0|62|1|MATERIAL_TYPE_184 (Remobra) x4|MATERIAL_TYPE_202 (High-Grade Bug) x8|
Calamitous Portent|Hammer_015 (Calamitous Portent)|1|98|2|MATERIAL_TYPE_184 (Remobra) x8|MATERIAL_TYPE_189 (Dracophage) x8|
