# generated by .xlsx-source/extract.py from weapondata (hammer) + weaponparam base/max on 2026-04-19
# schema: name|element|skill|wyvernfell|defense|affinity|status|status_rate|melodies|partner_melodies|base_attack|max_attack|max_level|rarity
Frozen Core||HM_001_03 (Perfect Crush_STRONG_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|68|136|3|1
Devil's Due||PS_072_00 (Striking Secret (S))|45|0|0||0|INVALID INVALID|INVALID INVALID|142|164|3|1
Dios Tailhammer||HM_002_03 (Perfect Strike_STRONG_2)|45|0|0||8|INVALID INVALID|INVALID INVALID|80|140|3|1
Scorching Isshata||PS_071_00 (Hammer Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|116|164|3|1
Kulu Beak||HM_011_02 (Windmill Bash_SHARP_1)|25|0|10||0|INVALID INVALID|INVALID INVALID|62|132|3|1
Five-Pronged Hammer||PS_073_00 (Soulbreak (S))|35|0|0||0|INVALID INVALID|INVALID INVALID|46|126|3|1
Frilled Blow||HM_011_01 (Windmill Bash_BREAK_1)|45|0|0||14|INVALID INVALID|INVALID INVALID|40|128|3|1
Sinister Hammer||PS_073_00 (Soulbreak (S))|35|0|0||10|INVALID INVALID|INVALID INVALID|142|160|3|1
Yeti Hammer||HM_002_02 (Perfect Strike_HEAVY_2)|45|0|0||0|INVALID INVALID|INVALID INVALID|120|154|3|1
Almudron Hammer||HM_010_00 (Backlash Blitz_NONE)|35|0|0||0|INVALID INVALID|INVALID INVALID|72|150|3|1
Azure Elder Hammer||PS_071_00 (Hammer Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|80|178|3|1
Gunhammer Prototype||HM_004_01 (Spinning Meteor_STRONG_2)|35|20|0||0|INVALID INVALID|INVALID INVALID|48|138|3|1
Bone Hammer||HM_005_00 (Debuff Chaser_NONE)|35|0|0||0|INVALID INVALID|INVALID INVALID|20|72|3|1
Graceful Death||HM_012_00 (Chain Scrap_NONE)|25|10|0||0|INVALID INVALID|INVALID INVALID|58|144|3|1
Ludroth Splashhammer||HM_011_00 (Windmill Bash_NONE)|45|0|0||0|INVALID INVALID|INVALID INVALID|32|132|3|1
Calamitous Portent||PS_071_00 (Hammer Mastery (S))|25|0|15||8|INVALID INVALID|INVALID INVALID|62|128|3|1
Usurper's Thunder||HM_001_01 (Perfect Crush_SHARPNESS_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|120|160|3|1
Diablos Hammer||PS_072_00 (Striking Secret (S))|45|15|0||0|INVALID INVALID|INVALID INVALID|98|160|3|1
Ceanataur Head Axe||HM_006_00 (Omni Chaser_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|74|148|3|1
Matraca Hammer||HM_004_03 (Spinning Meteor_SHARP_2)|25|0|10||0|INVALID INVALID|INVALID INVALID|120|140|3|1
Emerald Beater||HM_000_01 (Sweet Spot_SHARPNESS_1)|25|0|20||0|INVALID INVALID|INVALID INVALID|102|138|3|1
Duke Smiter||HM_003_02 (Meteor Hammer_SHARPNESS_1)|25|0|0||0|INVALID INVALID|INVALID INVALID|138|174|3|1
Hammer of Winter Moon||HM_004_02 (Spinning Meteor_SHARPNESS_2)|25|0|0||0|INVALID INVALID|INVALID INVALID|128|164|3|1
Golm Gavel||HM_001_02 (Perfect Crush_HEAVY_1)|45|10|0||0|INVALID INVALID|INVALID INVALID|72|148|3|1
Rosenhammer||HM_006_02 (Omni Chaser_SHARP_1)|25|0|10||8|INVALID INVALID|INVALID INVALID|76|148|3|1
Kut-Ku Pick||PS_071_00 (Hammer Mastery (S))|25|0|10||0|INVALID INVALID|INVALID INVALID|26|76|3|1
Plesioth Head||HM_012_03 (Chain Scrap_SHARPNESS_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|48|160|3|1
Shell Hammer||HM_010_01 (Backlash Blitz_BREAK_1)|45|20|0||8|INVALID INVALID|INVALID INVALID|96|156|3|1
Venom Monster||PS_073_00 (Soulbreak (S))|45|0|0||12|INVALID INVALID|INVALID INVALID|24|78|3|1
Conehead Hammer||HM_005_01 (Debuff Chaser_BREAK_1)|45|0|0||0|INVALID INVALID|INVALID INVALID|42|150|3|1
Cluster Hammer||HM_008_00 (Sleep Chaser_NONE)|35|0|0||8|INVALID INVALID|INVALID INVALID|36|135|3|1
Type 42 Shellbuster||HM_003_01 (Meteor Hammer_STRONG_1)|45|20|0||0|INVALID INVALID|INVALID INVALID|62|130|3|1
Bag o' Horrors||PS_072_00 (Striking Secret (S))|45|0|0||0|INVALID INVALID|INVALID INVALID|50|118|3|1
Bleeding Bopper||HM_012_01 (Chain Scrap_BREAK_1)|45|0|0||0|INVALID INVALID|INVALID INVALID|68|152|3|1
Vortex Hammer||HM_010_02 (Backlash Blitz_SHARPNESS_2)|35|0|0||0|INVALID INVALID|INVALID INVALID|52|150|3|1
Veldian Malleus||PS_073_00 (Soulbreak (S))|35|0|0||0|INVALID INVALID|INVALID INVALID|140|170|3|1
Chata Clobberer||PS_072_00 (Striking Secret (S))|45|0|0||0|INVALID INVALID|INVALID INVALID|28|100|3|1
