# generated by .xlsx-source/extract.py from melodydata on 2026-04-19
# schema: melody_id|name|description|notes|partner_notes|turn|value
Wyvernfell Melody|Wyvernfell Melody|Grants Wyvernfell Up (M). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Elementless Melody|Elementless Melody|Grants Non-Elem Atk Up (S) and Non-Elem Def Up (S). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Blazing Melody|Blazing Melody|Grants Fire Atk Up (S) and Fire Def Up (S). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_POWER|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Torrential Melody|Torrential Melody|Grants Water Atk Up (S) and Water Def Up (S). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Jolting Melody|Jolting Melody|Grants Thunder Atk Up (S) and Thunder Def Up (S). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Frigid Melody|Frigid Melody|Grants Ice Atk Up (S) and Ice Def Up (S). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_POWER|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Wyrmslayer Melody|Wyrmslayer Melody|Grants Dragon Atk Up (S) and Dragon Def Up (S). <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_POWER|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Venomous Melody|Venomous Melody|Grants the following effect: Attacks have a chance to inflict Poison. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_POWER|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Enervating Melody|Enervating Melody|Grants the following effect: Attacks have a chance to inflict Paralysis. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Beguiling Melody|Beguiling Melody|Grants the following effect: Attacks have a chance to inflict Sleep. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Murky Melody|Murky Melody|Grants the following effect: Attacks have a chance to inflict Darkness. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 2 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER|6|0
Comforting Melody|Comforting Melody|Recovers HP at the end of each turn. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|25
Tumultuous Melody|Tumultuous Melody|Grants the effects of one major melody. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|0|0
Plucky Melody|Plucky Melody|Increases damage dealt by Active Skills. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|120
Revitalizing Melody|Revitalizing Melody|Recovers HP completely. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|0|100
Fleet Melody|Fleet Melody|Increases Speed to the maximum. <COLOR preset="Text_Red">Activated by performing Magnificent Trio when 4 notes are on the musical staff.</COLOR>|THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_TECHNIQUE,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_POWER,THREE_WAY_TYPE_SPEED,THREE_WAY_TYPE_SPEED|6|0
