# generated by .xlsx-source/extract.py from weaponparam (hunting-horn) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Ajara Reverberator|Horn_033 (Ajara Reverberator)|0|74|0|MATERIAL_TYPE_175 (Ajarakan) x6||
Ajara Reverberator|Horn_033 (Ajara Reverberator)|1|116|0|MATERIAL_TYPE_175 (Ajarakan) x12|MATERIAL_TYPE_165 (Legiana) x6|
Ajara Reverberator|Horn_033 (Ajara Reverberator)|2|148|1|MATERIAL_TYPE_175 (Ajarakan) x20|MATERIAL_TYPE_104 (A.Rathalos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Anjanath Hum|Horn_036 (Anjanath Hum)|0|52|0|MATERIAL_TYPE_159 (Anjanath) x6||
Anjanath Hum|Horn_036 (Anjanath Hum)|1|62|1|MATERIAL_TYPE_159 (Anjanath) x12|MATERIAL_TYPE_152 (A.Somnacanth) x6|
Anjanath Hum|Horn_036 (Anjanath Hum)|2|136|1|MATERIAL_TYPE_159 (Anjanath) x20|MATERIAL_TYPE_103 (Rathalos) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Azure Elder Horn|Horn_010 (Azure Elder Horn)|0|80|0|MATERIAL_TYPE_155 (Ibushi) x3||
Azure Elder Horn|Horn_010 (Azure Elder Horn)|1|164|0|MATERIAL_TYPE_155 (Ibushi) x5|MATERIAL_TYPE_177 (Arkveld) x6|
Azure Elder Horn|Horn_010 (Azure Elder Horn)|2|178|1|MATERIAL_TYPE_155 (Ibushi) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Bariguiro|Horn_019 (Bariguiro)|0|120|0|MATERIAL_TYPE_126 (Barioth) x6||
Bariguiro|Horn_019 (Bariguiro)|1|132|1|MATERIAL_TYPE_126 (Barioth) x12|MATERIAL_TYPE_165 (Legiana) x6|
Bariguiro|Horn_019 (Bariguiro)|2|150|1|MATERIAL_TYPE_126 (Barioth) x20|MATERIAL_TYPE_170 (Malzeno) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Blood Horn|Horn_018 (Blood Horn)|0|68|1|MATERIAL_TYPE_106 (R.Khezu) x6||
Blood Horn|Horn_018 (Blood Horn)|1|100|2|MATERIAL_TYPE_106 (R.Khezu) x12|MATERIAL_TYPE_172 (Garangolm) x6|
Blood Horn|Horn_018 (Blood Horn)|2|148|2|MATERIAL_TYPE_106 (R.Khezu) x20|MATERIAL_TYPE_136 (Zinogre) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Bone Horn|Horn_003 (Bone Horn)|0|20|0|MATERIAL_TYPE_231 (Bone Horn) x1|MATERIAL_TYPE_195 (Monster Bone) x8|
Bone Horn|Horn_003 (Bone Horn)|1|34|1|MATERIAL_TYPE_196 (Brute Bone) x8|MATERIAL_TYPE_195 (Monster Bone) x10|
Bone Horn|Horn_003 (Bone Horn)|2|72|2|MATERIAL_TYPE_196 (Brute Bone) x12|MATERIAL_TYPE_183 (Cephalos) x10|MATERIAL_TYPE_204 (Weapon Sphere) x3
