# generated by .xlsx-source/extract.py from weapondata (hunting-horn) + weaponparam base/max on 2026-04-19
# schema: name|element|skill|wyvernfell|defense|affinity|status|status_rate|melodies|partner_melodies|base_attack|max_attack|max_level|rarity
Glacial Bagpipe||PS_075_00 (Mending Musician (S))|15|0|0||0|MELODY_WEAK_06 (Frigid Melody) MELODY_STRONG_07 (Mighty Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|126|164|3|1
Lumu Horn||HR_007_03 (Rallying Refrain_SHARP_1)|15|0|10||0|MELODY_WEAK_02 (Elementless Melody) MELODY_STRONG_01 (Comforting Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|24|104|3|1
Striped Dragonga||PS_076_00 (Polychrome Performer (S))|35|0|0||0|MELODY_WEAK_02 (Elementless Melody) MELODY_STRONG_05 (Fleet Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|105|154|3|1
Bone Horn||HR_009_00 (Kinship Chorale_NONE)|25|0|0||0|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|20|72|3|1
Kulu Duda||HR_002_03 (Critical Chant_SHARP_1)|15|0|10||0|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|62|132|3|1
Anjanath Hum||HR_000_01 (Rousing Riff_EXTENSION_1)|35|0|0||0|MELODY_WEAK_03 (Blazing Melody) MELODY_STRONG_09 (Sundering Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|52|136|3|1
Fulguring Horn||HR_003_01 (Power Paean_STRONG_1)|15|0|15||0|MELODY_WEAK_05 (Jolting Melody) MELODY_STRONG_09 (Sundering Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|110|140|3|1
Hydros Horn||PS_075_00 (Mending Musician (S))|15|0|15||0|MELODY_WEAK_04 (Torrential Melody) MELODY_STRONG_14 (Abyssal Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|40|164|3|1
Frog Flute||PS_074_00 (Hunting Horn Mastery (S))|35|10|0||0|MELODY_WEAK_04 (Torrential Melody) MELODY_STRONG_03 (Plucky Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|42|120|3|1
Sinister Strum||HR_012_00 (Deceptive Melody_NONE)|25|0|0||10|MELODY_WEAK_02 (Elementless Melody) MELODY_STRONG_07 (Mighty Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|142|160|3|1
Sublime Bell||HR_002_02 (Critical Chant_SHARPNESS_1)|15|0|15||0|MELODY_WEAK_03 (Blazing Melody) MELODY_STRONG_08 (Sheltering Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|70|134|3|1
Azure Elder Horn||PS_074_00 (Hunting Horn Mastery (S))|15|0|0||0|MELODY_WEAK_07 (Wyrmslayer Melody) MELODY_STRONG_11 (Welcoming Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|80|178|3|1
Magia Charm||HR_006_01 (Soothing Song_HEAL_1)|25|0|0||0|MELODY_WEAK_10 (Beguiling Melody) MELODY_STRONG_16 (Pulsing Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|32|106|3|1
Vicello Nulo Green||HR_006_03 (Soothing Song_STRONG_1)|25|0|0||12|MELODY_WEAK_09 (Enervating Melody) MELODY_STRONG_02 (Tumultuous Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|56|124|3|1
Vicello Nulo Red||PS_075_00 (Mending Musician (S))|25|0|0||0|MELODY_WEAK_03 (Blazing Melody) MELODY_STRONG_02 (Tumultuous Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|24|130|3|1
Vicello Nulo Yellow||HR_008_03 (Militant March_STRONG_1)|25|0|0||0|MELODY_WEAK_09 (Enervating Melody) MELODY_STRONG_02 (Tumultuous Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|24|106|3|1
Vicello Nulo Black||HR_010_00 (Bolstering Ballad_NONE)|25|0|0||0|MELODY_WEAK_08 (Venomous Melody) MELODY_STRONG_02 (Tumultuous Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|56|123|3|1
Zurogong Primo||HR_001_03 (Defensive Ditty_BREAK_1)|35|0|0||0|MELODY_WEAK_02 (Elementless Melody) MELODY_STRONG_01 (Comforting Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|42|120|3|1
Sandpipe||HR_001_01 (Defensive Ditty_EXTENSION_1)|35|15|0||0|MELODY_WEAK_02 (Elementless Melody) MELODY_STRONG_08 (Sheltering Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|64|134|3|1
Khezu Horn||HR_015_02 (Magnificent Trio_BREAK_2)|35|0|0||0|MELODY_WEAK_05 (Jolting Melody) MELODY_STRONG_04 (Revitalizing Melody)|MELODY_WEAK_01 (Wyvernfell Melody) MELODY_STRONG_01 (Comforting Melody)|50|134|3|1
