# generated by .xlsx-source/extract.py from weaponparam (long-sword) on 2026-04-19
# schema: name|weapon_id|level|attack|slots|mat1|mat2|mat3
Aknosom Sabre|LongSword_011 (Aknosom Sabre)|0|56|1|MATERIAL_TYPE_149 (Aknosom) x10||
Aknosom Sabre|LongSword_011 (Aknosom Sabre)|1|72|1|MATERIAL_TYPE_149 (Aknosom) x15|MATERIAL_TYPE_135 (Nibelsnarf) x6|
Aknosom Sabre|LongSword_011 (Aknosom Sabre)|2|124|2|MATERIAL_TYPE_149 (Aknosom) x25|MATERIAL_TYPE_118 (Garuga) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Almudron Blade|LongSword_014 (Almudron Blade)|0|72|1|MATERIAL_TYPE_154 (Almudron) x6||
Almudron Blade|LongSword_014 (Almudron Blade)|1|124|2|MATERIAL_TYPE_154 (Almudron) x12|MATERIAL_TYPE_165 (Legiana) x6|
Almudron Blade|LongSword_014 (Almudron Blade)|2|150|2|MATERIAL_TYPE_154 (Almudron) x20|MATERIAL_TYPE_123 (B.Tigrex) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Arzuros Naginata|LongSword_017 (Arzuros Naginata)|0|42|0|MATERIAL_TYPE_138 (Arzuros) x10||
Arzuros Naginata|LongSword_017 (Arzuros Naginata)|1|82|0|MATERIAL_TYPE_138 (Arzuros) x15|MATERIAL_TYPE_175 (Ajarakan) x6|
Arzuros Naginata|LongSword_017 (Arzuros Naginata)|2|120|1|MATERIAL_TYPE_138 (Arzuros) x25|MATERIAL_TYPE_156 (Goss) x12|MATERIAL_TYPE_204 (Weapon Sphere) x5
Azure Elder Long Sword|LongSword_015 (Azure Elder Long Sword)|0|80|0|MATERIAL_TYPE_155 (Ibushi) x3||
Azure Elder Long Sword|LongSword_015 (Azure Elder Long Sword)|1|164|0|MATERIAL_TYPE_155 (Ibushi) x5|MATERIAL_TYPE_177 (Arkveld) x6|
Azure Elder Long Sword|LongSword_015 (Azure Elder Long Sword)|2|178|1|MATERIAL_TYPE_155 (Ibushi) x10|MATERIAL_TYPE_241 (Invasive Material) x6|MATERIAL_TYPE_194 (Elder Dragon Blood) x3
Blango Decimator|LongSword_030 (Blango Decimator)|0|42|0|MATERIAL_TYPE_182 (Blango) x10|MATERIAL_TYPE_196 (Brute Bone) x8|
Blango Decimator|LongSword_030 (Blango Decimator)|1|106|0|MATERIAL_TYPE_120 (Blangonga) x15|MATERIAL_TYPE_130 (J.Barroth) x6|
Blango Decimator|LongSword_030 (Blango Decimator)|2|150|1|MATERIAL_TYPE_120 (Blangonga) x25|MATERIAL_TYPE_170 (Malzeno) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Blood Cry|LongSword_031 (Blood Cry)|0|36|1|MATERIAL_TYPE_140 (Nerscylla) x6||
Blood Cry|LongSword_031 (Blood Cry)|1|65|2|MATERIAL_TYPE_140 (Nerscylla) x15|MATERIAL_TYPE_119 (S.Ceanataur) x6|
Blood Cry|LongSword_031 (Blood Cry)|2|135|2|MATERIAL_TYPE_140 (Nerscylla) x25|MATERIAL_TYPE_125 (G.Nargacuga) x12|MATERIAL_TYPE_204 (Weapon Sphere) x8
Bone Katana "Wolf"|LongSword_029 (Bone Katana "Wolf")|0|26|0|MATERIAL_TYPE_181 (Velociprey) x10|MATERIAL_TYPE_195 (Monster Bone) x8|
Bone Katana "Wolf"|LongSword_029 (Bone Katana "Wolf")|1|56|0|MATERIAL_TYPE_117 (Velocidrome) x15|MATERIAL_TYPE_157 (G.Izuchi) x6|
