# generated by .xlsx-source/extract.py from weapondata (long-sword) + weaponparam base/max on 2026-04-19
# schema: name|element|skill|wyvernfell|defense|affinity|status|status_rate|melodies|partner_melodies|base_attack|max_attack|max_level|rarity
Wyvern Blade "Maple"||PS_061_00 (Long Sword Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|132|160|3|1
Glacial Shotel||LS_004_00 (Sakura Spiritblade_NONE)|15|0|0||0|INVALID INVALID|INVALID INVALID|126|164|3|1
Wyvern Blade "Verde"||PS_061_00 (Long Sword Mastery (S))|25|0|0||8|INVALID INVALID|INVALID INVALID|32|128|3|1
Reaver "Cruelty"||LS_008_02 (Spirit Release Slash_BREAK_2)|35|0|0||0|INVALID INVALID|INVALID INVALID|142|164|3|1
Hidden Saber||LS_001_01 (Spirit Reckoning_SHARP_2)|15|0|25||0|INVALID INVALID|INVALID INVALID|64|126|3|1
Hydra Tornaria||PS_059_00 (Counter Boost (S))|15|0|15||0|INVALID INVALID|INVALID INVALID|40|164|3|1
Iron Katana||LS_000_00 (Spirit Blade_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|20|72|3|1
Daito Crow||LS_006_01 (Lunge Stance_SHARPNESS_1)|15|0|10||8|INVALID INVALID|INVALID INVALID|76|138|3|1
Spark Slicer||LS_003_00 (Spirithelm Breaker_NONE)|15|0|15||0|INVALID INVALID|INVALID INVALID|30|128|3|1
Dios Katana||LS_001_02 (Spirit Reckoning_HEAVY_1)|35|0|0||8|INVALID INVALID|INVALID INVALID|80|140|3|1
Wind Thief Scimitar||LS_000_01 (Spirit Blade_SHARP_1)|15|0|15||0|INVALID INVALID|INVALID INVALID|36|102|3|1
Aknosom Sabre||LS_007_00 (Retaliation Stance_NONE)|25|0|0||0|INVALID INVALID|INVALID INVALID|56|124|3|1
Frilled Slash||LS_004_02 (Sakura Spiritblade_BREAK_2)|35|0|0||14|INVALID INVALID|INVALID INVALID|40|128|3|1
Sinister Long Sword||PS_059_00 (Counter Boost (S))|25|0|0||10|INVALID INVALID|INVALID INVALID|142|160|3|1
Almudron Blade||PS_061_00 (Long Sword Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|72|150|3|1
Azure Elder Long Sword||LS_007_01 (Retaliation Stance_SHARPNESS_1)|15|0|0||0|INVALID INVALID|INVALID INVALID|80|178|3|1
Cawscythe||PS_061_00 (Long Sword Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|56|138|3|1
Arzuros Naginata||LS_000_02 (Spirit Blade_HEAVY_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|42|120|3|1
Drowning Shaft||LS_002_02 (Spirit Roundslash_HEAVY_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|32|132|3|1
Kakaru Kumo Naki||LS_003_01 (Spirithelm Breaker_SHARP_2)|15|0|10||0|INVALID INVALID|INVALID INVALID|76|150|3|1
Usurper's Boltslicer||LS_001_03 (Spirit Reckoning_STRONG_1)|25|0|0||0|INVALID INVALID|INVALID INVALID|120|160|3|1
Shogun Cutter||LS_008_00 (Spirit Release Slash_NONE)|15|0|0||0|INVALID INVALID|INVALID INVALID|74|148|3|1
Khanga Edge||LS_006_03 (Lunge Stance_SHARP_1)|15|0|10||0|INVALID INVALID|INVALID INVALID|120|140|3|1
Wyvern Blade "Beryl"||PS_059_00 (Counter Boost (S))|15|0|20||0|INVALID INVALID|INVALID INVALID|102|138|3|1
Duke's Sinclair||PS_060_00 (Iai Mastery (S))|15|0|0||0|INVALID INVALID|INVALID INVALID|138|174|3|1
Icebrink||PS_060_00 (Iai Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|142|174|3|1
Cheese Knife||LS_008_01 (Spirit Release Slash_CHEAP_2)|15|0|0||12|INVALID INVALID|INVALID INVALID|74|134|3|1
Wailing Ghost||PS_060_00 (Iai Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|46|126|3|1
Plesioth Splasher||PS_060_00 (Iai Mastery (S))|25|0|0||0|INVALID INVALID|INVALID INVALID|48|160|3|1
Bone Katana "Wolf"||LS_002_03 (Spirit Roundslash_BREAK_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|26|98|3|1
Blango Decimator||LS_006_02 (Lunge Stance_HEAVY_1)|35|0|0||0|INVALID INVALID|INVALID INVALID|42|150|3|1
Blood Cry||PS_059_00 (Counter Boost (S))|25|0|0||8|INVALID INVALID|INVALID INVALID|36|135|3|1
Veldian Ensis||LS_004_01 (Sakura Spiritblade_STRONG_2)|25|0|0||0|INVALID INVALID|INVALID INVALID|140|170|3|1
Rey Tonitrus||LS_002_01 (Spirit Roundslash_SHARPNESS_1)|15|0|0||0|INVALID INVALID|INVALID INVALID|116|165|3|1
